name	orig_bytes	orig_sha256	frame_bytes	frame_sha256
html-large-web-codec-v2.html	227968	7c9ef50500135a4d14c4d900c5fd6d7fa3b407c321d3aa3efd73a2a86a832119	14428	7ba2884596fda4ea484c836e34288a01033abbbc34208d854fadbcd94c80eef2
html-medium-home-v2.html	25031	da08b6a012b63e89ea94b5ceefa46b02836fd100d748645a84224a59ccb30c4e	5563	f686ff6a41c7bff80716e831fd3f4317973f9a95bedc21dca4078a081e2a64c8
inter-latin.medium.woff2	23664	8909904ab6c872eb994093482a88a28eca2cd95912d7b6fecd72103b0dc07edc	23650	f5c4d511c56ae244d6416f3117bf4703ce5efd01bf6a63eaf032560c87f0c9b2
json-api-large-world-benchmark-v2.json	320976	bf43753559058f0b6921c6e62357fe349eec8f0831ad387deb19ea92794c74f5	18590	decde6c8baec65878081e083e308ccbcf416ddeb7dd7e915e69bf84e0d64b67b
json-api-medium-web-benchmark-v2.json	98948	6cf2b3ce307daa3db95cf0289477f791dbd23cd0ad338752625ec39b2a2f6553	9630	8b3bfd640d04a8bb089361df8bc439bc3a8443c82c01e6199c63d07e11ea9d83
json-api-small-hypotheses-v2.json	13880	8c400a5b155dbf7d606bb9381ffd56a57300cd3fb2be81e0a2543acaecd9ebdd	1558	d838f1c28fb68fdc229dd372d6ab5135df896dfdd766658649073de648873316
magic-string.umd.js	42936	8288c7ef6ff77798ad32cd8d8380cc71fb045b290b7e936ea60bbf934041bfd4	9375	3db8d001ed28d2f82df8571f09ce41b195a8c31f3942c317d3ed5bdc4e396197
magic-string.umd.js.map	112594	1c81a7fb5801ccd073a86132141196564c0ced673b0615c6f361f389fda9c449	19058	0c3964a5988fde4b521a8e8148d05a483e4735294764c3e565a7399054121293
resolve-uri.umd.js	9866	2d46a62531a9ffa1e6e04995a94ae35d7a10869e2116132068a8755a15d46663	2797	28fb7539c82a8adaf00755f76620e1e577a0856d046e006e2d2486bfda05037c
sourcemap-codec.umd.js	14590	25f02490d5179a4c28d6799e2c290be162be1010e6a101d77f5511683ccd0ca3	3522	e544cb765dde66bcee8d0982b6005e17285afa18b057ad501063bb9de59312c3
sourcemap-codec.umd.js.map	9700	ca577b575f6fdd28181e08ab3e435fd4d68b30e88ca935f5114e273f89c84ddf	2407	4f3417c5a68c07771d8d854b746303339f83eeb719f3218c62b7ffcadd682ca4
tailwind.css	65257	00146c668da8eb5e82b2e493d0925bd343a8b677c8402790d10e8ba3d188e5bf	10361	f13478404ca050f463927ce83f61c9d899cf816ca55b163b53b9ece461bba05f
