# host: arcana-agents Model name: AMD Ryzen 5 3600 6-Core Processor
# kernel: 6.8.0-106-generic  governor(cpu11): schedutil
# binary sha256: 676424e4c5065fdb737d3b15c824984299934b444839e99963ea09bf4efdcfec
# payload-set sha256: c6d893a7cbc2088608cfcb126d50d5994f776f159ea878b9fde0ca65a9e36cd1
# admission-before(host): 0.12 0.16 0.12 1/1047 321931
# pin: taskset -c 11 | rounds=101 warmups=5 seed=20260811
# admission-before loadavg: 0.12 0.16 0.12
# rounds=101 warmups=5 seed=20260811
sample                                   orig_bytes   archive    best_MB_s  median_MB_s
tailwind.css                                  65257     10361       171.79       170.48
html-large-web-codec-v2.html                 227968     14428       348.66       346.35
html-medium-home-v2.html                      25031      5563       130.58       128.66
magic-string.umd.js                           42936      9375       134.81       134.09
sourcemap-codec.umd.js                        14590      3522       119.88       117.18
resolve-uri.umd.js                             9866      2797       113.12       111.42
json-api-large-world-benchmark-v2.json       320976     18590       329.62       327.73
json-api-medium-web-benchmark-v2.json         98948      9630       258.46       257.00
json-api-small-hypotheses-v2.json             13880      1558       215.74       200.12
magic-string.umd.js.map                      112594     19058       171.24       169.86
sourcemap-codec.umd.js.map                     9700      2407       124.05       122.43
inter-latin.medium.woff2                      23664     23650        55.76        55.23
AGGREGATE bytes=965410 best_total_s=0.004334 corpus_best_MB_s=222.76
# admission-after loadavg: 0.19 0.17 0.13
# admission-after(host): 0.19 0.17 0.13 3/1054 321962
# date: 2026-08-11T17:07:44Z
