sample_id	slice	offset	slice_len	slice_sha256	emitted_bytes	emitted_rt	base_blob	winner_stream	winner_name	static_min_stream	static_min_name	static_forced_blob	cm2_small
css-medium-tailwind-v2	0	0	65257	00146c668da8eb5e82b2e493d0925bd343a8b677c8402790d10e8ba3d188e5bf	6847	PASS	10686	0	NONE(raw)	0	NONE(raw)	6847	6847
html-large-web-codec-v2	0	0	65536	c9013cf9d459c1dd5a68f7f4e28bcd02db4e16e9b49deb62ea6ffcc524f36a42	5821	PASS	7990	0	NONE(raw)	0	NONE(raw)	5821	5821
html-large-web-codec-v2	1	65536	65536	451361e8baba53fde144989ebdfc90a978b6ebb9f6befcc3b2b48243f97ceddf	2174	PASS	2844	0	NONE(raw)	0	NONE(raw)	2174	2174
html-large-web-codec-v2	2	131072	65536	2b1b948191fb633e1261d4482944309ea74b98e7f8c202ac5dbcf1ffdbaab42e	3297	PASS	4460	0	NONE(raw)	0	NONE(raw)	3297	3297
html-large-web-codec-v2	3	196608	31360	26ed43f489d69c33531a7234eff9b932619e34dd6a14f6d3d5327d87885c2a10	2121	PASS	2943	0	NONE(raw)	0	NONE(raw)	2121	2121
html-medium-home-v2	0	0	25031	da08b6a012b63e89ea94b5ceefa46b02836fd100d748645a84224a59ccb30c4e	4700	PASS	6260	0	NONE(raw)	0	NONE(raw)	4700	4700
javascript-medium-magic-string-v2	0	0	42936	8288c7ef6ff77798ad32cd8d8380cc71fb045b290b7e936ea60bbf934041bfd4	7242	PASS	9728	0	NONE(raw)	0	NONE(raw)	7242	7242
javascript-medium-sourcemap-codec-v2	0	0	14590	25f02490d5179a4c28d6799e2c290be162be1010e6a101d77f5511683ccd0ca3	2893	PASS	3906	0	NONE(raw)	0	NONE(raw)	2893	2893
javascript-small-resolve-uri-v2	0	0	9866	2d46a62531a9ffa1e6e04995a94ae35d7a10869e2116132068a8755a15d46663	2420	PASS	3039	0	NONE(raw)	0	NONE(raw)	2420	2420
json-api-large-world-benchmark-v2	0	0	65536	a9c373b84fd8e50e9df4cd917474cc8b610c35af496f84c90cb5fe236852af29	2814	PASS	3842	0	NONE(raw)	0	NONE(raw)	2814	2814
json-api-large-world-benchmark-v2	1	65536	65536	fea968b01de93cf689c191efdd4a42ce6caad7a43d0777ce1855be1f2830e8b5	2059	PASS	2812	0	NONE(raw)	0	NONE(raw)	2059	2059
json-api-large-world-benchmark-v2	2	131072	65536	4b3d918d7d09d1debf86f211396c8a61a2ec7af142f6d147c7680c12a41135ca	2202	PASS	2933	0	NONE(raw)	0	NONE(raw)	2202	2202
json-api-large-world-benchmark-v2	3	196608	65536	49936b51d42c2e7650033b0ca0690b0e28c4aeddae3c1a78bff1145237b1595e	2238	PASS	2984	0	NONE(raw)	0	NONE(raw)	2238	2238
json-api-large-world-benchmark-v2	4	262144	58832	ccc5ccc8b24a97d19a1a81bae2969aeb4b81b5a3ba3594e17b9f539da8c91c39	7393	PASS	9160	0	NONE(raw)	0	NONE(raw)	7393	7393
json-api-medium-web-benchmark-v2	0	0	65536	d7102933d6ef67143c476a8b81799a6291f51f87f6980eb176efc2023a9a85ef	3055	PASS	4676	0	NONE(raw)	0	NONE(raw)	3055	3055
json-api-medium-web-benchmark-v2	1	65536	33412	e66c969c9575b40dcd1a9d99e68de2e7c010667ba1fb1c8b197d7d05994f5336	3042	PASS	4462	0	NONE(raw)	0	NONE(raw)	3042	3042
json-api-small-hypotheses-v2	0	0	13880	8c400a5b155dbf7d606bb9381ffd56a57300cd3fb2be81e0a2543acaecd9ebdd	1442	PASS	1973	0	NONE(raw)	0	NONE(raw)	1442	1442
source-map-large-magic-string-v2	0	0	65536	ca042f27986555e3f6b66d56db58b53c4bff950f4b96e54e6baa95725527f141	9678	PASS	13116	0	NONE(raw)	0	NONE(raw)	9678	9678
source-map-large-magic-string-v2	1	65536	47058	73b1149c29116d93e3ca95b1fb96ae5cde9f87c8299c883aabe95d2aad5c8d1a	4249	PASS	4735	0	NONE(raw)	0	NONE(raw)	4249	4249
source-map-small-sourcemap-codec-v2	0	0	9700	ca577b575f6fdd28181e08ab3e435fd4d68b30e88ca935f5114e273f89c84ddf	1829	PASS	2147	0	NONE(raw)	0	NONE(raw)	1829	1829
woff2-medium-inter-latin-v20	0	0	23664	8909904ab6c872eb994093482a88a28eca2cd95912d7b6fecd72103b0dc07edc	23677	PASS	23677	0	NONE(raw)	0	NONE(raw)	23677	0
