sample_id	slice	base_blob	winner	winner_stream	static_min	static_stream	static_forced	raw_clamp
css-medium-tailwind-v2	0	10686	vs_geomix	10570	vs_lz_rans	12447	12563	65270
html-large-web-codec-v2	0	7990	vs_geomix	7840	vs_lz_rans	9301	9451	65549
html-large-web-codec-v2	1	2844	vs_geomix	2748	vs_lz_rans	4505	4601	65549
html-large-web-codec-v2	2	4460	vs_geomix	4340	vs_lz_rans	5655	5775	65549
html-large-web-codec-v2	3	2943	vs_geomix	2817	vs_lz_rans	3499	3625	31373
html-medium-home-v2	0	6260	vs_geomix	6111	vs_lz_rans	7295	7444	25044
javascript-medium-magic-string-v2	0	9728	vs_geomix	9583	vs_lz_rans	11701	11846	42949
javascript-medium-sourcemap-codec-v2	0	3906	vs_geomix	3776	vs_lz_rans	5045	5175	14603
javascript-small-resolve-uri-v2	0	3039	vs_geomix	2919	vs_lz_rans	4154	4274	9879
json-api-large-world-benchmark-v2	0	3842	vs_geomix	3727	vs_lz_rans	4423	4538	65549
json-api-large-world-benchmark-v2	1	2812	vs_geomix	2710	vs_lz_rans	3578	3680	65549
json-api-large-world-benchmark-v2	2	2933	vs_geomix	2831	vs_lz_rans	3658	3760	65549
json-api-large-world-benchmark-v2	3	2984	vs_geomix	2882	vs_lz_rans	3760	3862	65549
json-api-large-world-benchmark-v2	4	9160	vs_geomix	9036	vs_lz_rans	11032	11156	58845
json-api-medium-web-benchmark-v2	0	4676	vs_geomix	4571	vs_lz_rans	7611	7716	65549
json-api-medium-web-benchmark-v2	1	4462	vs_geomix	4356	vs_lz_rans	5745	5851	33425
json-api-small-hypotheses-v2	0	1973	vs_geomix	1870	vs_lz_rans	2642	2745	13893
source-map-large-magic-string-v2	0	13116	vs_geomix	12973	vs_lz_rans	15578	15721	65549
source-map-large-magic-string-v2	1	4735	vs_geomix	4625	vs_bwt_rans	8328	8438	47071
source-map-small-sourcemap-codec-v2	0	2147	vs_geomix	2031	vs_lz_rans	3849	3965	9713
woff2-medium-inter-latin-v20	0	23677	vs_geomix	23658	vs_order2_rans	24421	24440	23677
