sample_id	media_family	variant	parse_chain	orig_bytes	modelled_bytes	store_bytes	chosen_bytes	selected	blocks	bits_frame_header	bits_block_headers	bits_table_descriptors	bits_literals	bits_lengths	bits_length_extra	bits_distances	bits_distance_extra	bits_eob	bits_checksum	bits_context_map	gzip9	brotli11	static_best_today	cm2_champion
css-medium-tailwind-v2	css	V1-whole-file	16	65257	11264	65273	11264	web-scheme	1	88	3	619	20426	19917	3386	17666	27962	12	32	0	11278	9161	12447	6847
css-medium-tailwind-v2	css	V2-64KiB-blocks	16	65257	11264	65273	11264	web-scheme	1	88	3	619	20426	19917	3386	17666	27962	12	32	0	11278	9161	12447	6847
css-medium-tailwind-v2	css	V3-whole-file-ctx2	16	65257	11230	65273	11230	web-scheme	1	88	3	994	19442	20112	3386	17666	27962	11	32	138	11278	9161	12447	6847
css-medium-tailwind-v2	css	V3-whole-file-ctx3	16	65257	11118	65273	11118	web-scheme	1	88	3	1285	18828	19536	3386	17666	27962	11	32	142	11278	9161	12447	6847
css-medium-tailwind-v2	css	V4-64KiB-blocks-ctx2	16	65257	11230	65273	11230	web-scheme	1	88	3	994	19442	20112	3386	17666	27962	11	32	138	11278	9161	12447	6847
css-medium-tailwind-v2	css	V1-whole-file	128	65257	11158	65273	11158	web-scheme	1	88	3	610	20088	19676	3419	17346	27983	12	32	0	11278	9161	12447	6847
css-medium-tailwind-v2	css	V2-64KiB-blocks	128	65257	11158	65273	11158	web-scheme	1	88	3	610	20088	19676	3419	17346	27983	12	32	0	11278	9161	12447	6847
css-medium-tailwind-v2	css	V3-whole-file-ctx2	128	65257	11128	65273	11128	web-scheme	1	88	3	997	19219	19787	3419	17346	27983	11	32	138	11278	9161	12447	6847
css-medium-tailwind-v2	css	V3-whole-file-ctx3	128	65257	11018	65273	11018	web-scheme	1	88	3	1281	18596	19236	3419	17346	27983	11	32	142	11278	9161	12447	6847
css-medium-tailwind-v2	css	V4-64KiB-blocks-ctx2	128	65257	11128	65273	11128	web-scheme	1	88	3	997	19219	19787	3419	17346	27983	11	32	138	11278	9161	12447	6847
css-medium-tailwind-v2	css	V1-whole-file	1024	65257	11113	65273	11113	web-scheme	1	88	3	610	20009	19526	3424	17182	28014	12	32	0	11278	9161	12447	6847
