sample_id	media_family	orig_bytes	source_sha256	comp_bytes	mode_byte	mode_name	roundtrip_cmp	archive_sha256
css-medium-tailwind-v2	css	65257	00146c668da8eb5e82b2e493d0925bd343a8b677c8402790d10e8ba3d188e5bf	6847	16	CM2	PASS	f70ba848b05e8cfedac64ea90331388982bcda8201a6d481704fed6d03a55993
html-large-web-codec-v2	html	227968	7c9ef50500135a4d14c4d900c5fd6d7fa3b407c321d3aa3efd73a2a86a832119	10629	16	CM2	PASS	a7118578430bb6f50a763fc8b8983a61c39cac558ca9ab8d4e895972b0f89ae4
html-medium-home-v2	html	25031	da08b6a012b63e89ea94b5ceefa46b02836fd100d748645a84224a59ccb30c4e	4700	16	CM2	PASS	fed9e016f68082b8da80bd922f10ff29f3449eb3c65bb28bc1846694bf4d9349
javascript-medium-magic-string-v2	javascript	42936	8288c7ef6ff77798ad32cd8d8380cc71fb045b290b7e936ea60bbf934041bfd4	7242	16	CM2	PASS	99126400be9822d12011ac4b035cb00a6dcd194d240a33298b2ae3a961c6d5a3
javascript-medium-sourcemap-codec-v2	javascript	14590	25f02490d5179a4c28d6799e2c290be162be1010e6a101d77f5511683ccd0ca3	2893	16	CM2	PASS	330fbe915575ea38f434e90f2653b2a9edb9ffd2a4147fb41eec2779144a166d
javascript-small-resolve-uri-v2	javascript	9866	2d46a62531a9ffa1e6e04995a94ae35d7a10869e2116132068a8755a15d46663	2420	16	CM2	PASS	ba50c55cdd98640d3d43e546a368e5829616e27a05b845a7e8ed4ffae144c1a7
json-api-large-world-benchmark-v2	json-api	320976	bf43753559058f0b6921c6e62357fe349eec8f0831ad387deb19ea92794c74f5	13323	16	CM2	PASS	62902ce97717acf2ee5e7ce483f5a77dc17aab9290c36500550d4295ec7a99e1
json-api-medium-web-benchmark-v2	json-api	98948	6cf2b3ce307daa3db95cf0289477f791dbd23cd0ad338752625ec39b2a2f6553	5719	16	CM2	PASS	edb61c0d1b460bb0873533ec7424f4347007da18d6eb4c7182ec8f939287fae8
json-api-small-hypotheses-v2	json-api	13880	8c400a5b155dbf7d606bb9381ffd56a57300cd3fb2be81e0a2543acaecd9ebdd	1442	16	CM2	PASS	e2b99c753c5f4464c1577704793755e91dc6c961ffa63c87b8d05d08f942f406
source-map-large-magic-string-v2	source-map	112594	1c81a7fb5801ccd073a86132141196564c0ced673b0615c6f361f389fda9c449	13664	16	CM2	PASS	daa34afdb40ce1304b1079eed77d1962abdcbeca86ba5687e94e0eeb6295f0e1
source-map-small-sourcemap-codec-v2	source-map	9700	ca577b575f6fdd28181e08ab3e435fd4d68b30e88ca935f5114e273f89c84ddf	1829	16	CM2	PASS	87d9f7bc38201575d9e9dacbd3e37eabee1eec53f592c400c1f5a241da2c1ea2
woff2-medium-inter-latin-v20	woff2	23664	8909904ab6c872eb994093482a88a28eca2cd95912d7b6fecd72103b0dc07edc	23677	1	RAW	PASS	9f4974df911d7b07ef1e972822a7b6bb14fb2274e7e1e7b1f6e8deeb318e089f
