# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 107K of event 'cycles'
# Event count (approx.): 357517132842
#
# Overhead  Command         Shared Object      Symbol                                                           
# ........  ..............  .................  .................................................................
#
    54.32%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel11predict_bit
    32.40%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs0_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_3Ctr3upd
     8.41%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel10update_bit
     2.02%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs3_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_5Match3end
     1.33%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel10start_byte
     0.66%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvNtCs4nLXsUdxWI4_6cubrim3cm210cm2_decode
     0.08%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel8end_byte
     0.08%  cubrim-3a13f48  [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_read_msr
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] __const_udelay
     0.03%  cubrim-3a13f48  [kernel.kallsyms]  [k] __raw_spin_lock_irqsave
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] read_tsc
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_write_msr
     0.02%  cubrim-3a13f48  [kernel.kallsyms]  [k] timekeeping_advance
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] srso_safe_ret
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_load_avg
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] task_mm_cid_work
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] sync_regs
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] x86_pmu_disable_all
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_cfs_group
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_curr
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] ktime_get
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __update_load_avg_se
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] sched_clock_cpu
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_fast_timekeeper
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] sugov_update_single_freq
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] tick_do_update_jiffies64
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] scheduler_tick
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] delay_halt_mwaitx
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __handle_mm_fault
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] __rcu_read_lock
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] _raw_spin_lock
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] account_user_time
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] delay_halt
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] blk_cgroup_congested
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] update_vdso_data.constprop.0
     0.01%  cubrim-3a13f48  [kernel.kallsyms]  [k] clear_page_rep
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] irqentry_exit
     0.00%  cubrim-3a13f48  [kernel.kallsyms]  [k] __cgroup_account_cputime_field
