# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles'
# Event count (approx.): 195060167116
#
# Overhead  Command         Shared Object      Symbol                                                           
# ........  ..............  .................  .................................................................
#
    50.01%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel11predict_bit
    29.42%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs0_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_3Ctr3upd
     8.50%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel10update_bit
     1.82%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs3_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_5Match3end
     0.79%  cubrim-3a13f48  [kernel.kallsyms]  [k] clear_page_rep
     0.61%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel10start_byte
     0.58%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvNtCs4nLXsUdxWI4_6cubrim3cm210cm2_decode
     0.54%  cubrim-3a13f48  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.31%  cubrim-3a13f48  [kernel.kallsyms]  [k] zap_pte_range
     0.31%  cubrim-3a13f48  [kernel.kallsyms]  [k] __handle_mm_fault
     0.31%  cubrim-3a13f48  [kernel.kallsyms]  [k] srso_safe_ret
     0.25%  cubrim-3a13f48  [kernel.kallsyms]  [k] __rcu_read_unlock
     0.21%  cubrim-3a13f48  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.21%  cubrim-3a13f48  [kernel.kallsyms]  [k] handle_mm_fault
     0.21%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs0_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_3Ctr3new
     0.19%  cubrim-3a13f48  [kernel.kallsyms]  [k] rmqueue_bulk
     0.18%  cubrim-3a13f48  [kernel.kallsyms]  [k] __free_one_page
     0.17%  cubrim-3a13f48  [kernel.kallsyms]  [k] wp_page_copy
     0.17%  cubrim-3a13f48  [kernel.kallsyms]  [k] do_anonymous_page
     0.14%  cubrim-3a13f48  [kernel.kallsyms]  [k] handle_pte_fault
     0.12%  cubrim-3a13f48  [kernel.kallsyms]  [k] exc_page_fault
     0.12%  cubrim-3a13f48  [kernel.kallsyms]  [k] lock_vma_under_rcu
     0.12%  cubrim-3a13f48  [kernel.kallsyms]  [k] lru_gen_del_folio.constprop.0
     0.12%  cubrim-3a13f48  [kernel.kallsyms]  [k] do_user_addr_fault
     0.12%  cubrim-3a13f48  [kernel.kallsyms]  [k] __pte_offset_map
     0.12%  cubrim-3a13f48  [kernel.kallsyms]  [k] __rcu_read_lock
     0.11%  cubrim-3a13f48  [kernel.kallsyms]  [k] __count_memcg_events
     0.11%  cubrim-3a13f48  [kernel.kallsyms]  [k] _raw_spin_lock
     0.11%  cubrim-3a13f48  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.10%  cubrim-3a13f48  [kernel.kallsyms]  [k] mas_walk
     0.10%  cubrim-3a13f48  [kernel.kallsyms]  [k] __alloc_pages
     0.09%  cubrim-3a13f48  [kernel.kallsyms]  [k] arch_exit_to_user_mode_prepare.isra.0
     0.09%  cubrim-3a13f48  [kernel.kallsyms]  [k] blk_cgroup_congested
     0.09%  cubrim-3a13f48  [kernel.kallsyms]  [k] lru_add_fn
     0.09%  cubrim-3a13f48  [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.09%  cubrim-3a13f48  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.09%  cubrim-3a13f48  [kernel.kallsyms]  [k] __lruvec_stat_mod_folio
     0.09%  cubrim-3a13f48  cubrim-3a13f48     [.] _RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel8end_byte
     0.09%  cubrim-3a13f48  [kernel.kallsyms]  [k] lru_gen_add_folio
     0.08%  cubrim-3a13f48  [kernel.kallsyms]  [k] sync_regs
     0.08%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.07%  cubrim-3a13f48  [kernel.kallsyms]  [k] rmqueue
     0.07%  cubrim-3a13f48  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.07%  cubrim-3a13f48  [kernel.kallsyms]  [k] error_entry
     0.07%  cubrim-3a13f48  [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.07%  cubrim-3a13f48  [kernel.kallsyms]  [k] _raw_spin_unlock
     0.07%  cubrim-3a13f48  [kernel.kallsyms]  [k] __pte_offset_map_lock
     0.06%  cubrim-3a13f48  [kernel.kallsyms]  [k] get_page_from_freelist
     0.06%  cubrim-3a13f48  [kernel.kallsyms]  [k] count_memcg_events.constprop.0
     0.06%  cubrim-3a13f48  [kernel.kallsyms]  [k] release_pages
     0.05%  cubrim-3a13f48  [kernel.kallsyms]  [k] __rmqueue_pcplist
     0.05%  cubrim-3a13f48  [kernel.kallsyms]  [k] __mod_node_page_state
     0.05%  cubrim-3a13f48  [kernel.kallsyms]  [k] do_wp_page
     0.05%  cubrim-3a13f48  [kernel.kallsyms]  [k] folio_add_new_anon_rmap
     0.05%  cubrim-3a13f48  [kernel.kallsyms]  [k] native_read_msr
     0.05%  cubrim-3a13f48  [kernel.kallsyms]  [k] uncharge_folio
     0.05%  cubrim-3a13f48  [kernel.kallsyms]  [k] free_unref_page_list
     0.05%  cubrim-3a13f48  [kernel.kallsyms]  [k] vma_alloc_folio
