cell	share_percent	amdahl_ceiling	bucket	dso	symbol
dickens/max	49.72	1.988862	cm2_predict_bit	cubrim-3a13f48	_RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel11predict_bit
dickens/max	32.81	1.488317	cm2_ctr_upd	cubrim-3a13f48	_RNvMs0_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_3Ctr3upd
dickens/max	6.39	1.068262	cm2_update_bit	cubrim-3a13f48	_RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel10update_bit
dickens/max	2.92	1.030078	cm2_match_end	cubrim-3a13f48	_RNvMs3_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_5Match3end
dickens/max	0.79	1.007963	cm2_start_byte	cubrim-3a13f48	_RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel10start_byte
dickens/max	0.57	1.005733	kernel	[kernel.kallsyms]	clear_page_rep
dickens/max	0.46	1.004621	cm2_decode_shell	cubrim-3a13f48	_RNvNtCs4nLXsUdxWI4_6cubrim3cm210cm2_decode
dickens/max	0.38	1.003814	kernel	[kernel.kallsyms]	asm_exc_page_fault
dickens/max	0.26	1.002607	kernel	[kernel.kallsyms]	__handle_mm_fault
dickens/max	0.24	1.002406	kernel	[kernel.kallsyms]	zap_pte_range
dickens/max	0.21	1.002104	kernel	[kernel.kallsyms]	srso_safe_ret
dickens/max	0.17	1.001703	kernel	[kernel.kallsyms]	__rcu_read_unlock
dickens/max	0.14	1.001402	kernel	[kernel.kallsyms]	__mod_memcg_lruvec_state
dickens/max	0.14	1.001402	cm2_ctr_new	cubrim-3a13f48	_RNvMs0_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_3Ctr3new
dickens/max	0.14	1.001402	kernel	[kernel.kallsyms]	__free_one_page
dickens/max	0.14	1.001402	kernel	[kernel.kallsyms]	do_anonymous_page
dickens/max	0.13	1.001302	kernel	[kernel.kallsyms]	lru_gen_del_folio.constprop.0
dickens/max	0.13	1.001302	kernel	[kernel.kallsyms]	handle_mm_fault
dickens/max	0.13	1.001302	kernel	[kernel.kallsyms]	do_user_addr_fault
dickens/max	0.13	1.001302	kernel	[kernel.kallsyms]	wp_page_copy
dickens/max	0.12	1.001201	kernel	[kernel.kallsyms]	rmqueue_bulk
dickens/max	0.11	1.001101	kernel	[kernel.kallsyms]	handle_pte_fault
dickens/max	0.11	1.001101	kernel	[kernel.kallsyms]	exc_page_fault
dickens/max	0.09	1.000901	kernel	[kernel.kallsyms]	lock_vma_under_rcu
dickens/max	0.09	1.000901	kernel	[kernel.kallsyms]	_raw_spin_lock
dickens/max	0.09	1.000901	kernel	[kernel.kallsyms]	mem_cgroup_commit_charge
dickens/max	0.09	1.000901	kernel	[kernel.kallsyms]	__rcu_read_lock
dickens/max	0.09	1.000901	kernel	[kernel.kallsyms]	__count_memcg_events
dickens/max	0.08	1.000801	cm2_end_byte	cubrim-3a13f48	_RNvMs4_NtCs4nLXsUdxWI4_6cubrim3cm2NtB5_7CmModel8end_byte
dickens/max	0.08	1.000801	kernel	[kernel.kallsyms]	__lruvec_stat_mod_folio
dickens/max	0.08	1.000801	kernel	[kernel.kallsyms]	lru_gen_add_folio
dickens/max	0.07	1.000700	kernel	[kernel.kallsyms]	__mod_lruvec_state
dickens/max	0.07	1.000700	kernel	[kernel.kallsyms]	lru_add_fn
dickens/max	0.07	1.000700	kernel	[kernel.kallsyms]	mas_walk
dickens/max	0.07	1.000700	kernel	[kernel.kallsyms]	__pte_offset_map
dickens/max	0.07	1.000700	kernel	[kernel.kallsyms]	__mem_cgroup_charge
dickens/max	0.07	1.000700	kernel	[kernel.kallsyms]	perf_adjust_freq_unthr_context
dickens/max	0.07	1.000700	kernel	[kernel.kallsyms]	blk_cgroup_congested
dickens/max	0.06	1.000600	kernel	[kernel.kallsyms]	rmqueue
dickens/max	0.06	1.000600	kernel	[kernel.kallsyms]	cgroup_rstat_updated
dickens/max	0.06	1.000600	kernel	[kernel.kallsyms]	sync_regs
dickens/max	0.06	1.000600	kernel	[kernel.kallsyms]	__alloc_pages
dickens/max	0.06	1.000600	kernel	[kernel.kallsyms]	error_entry
dickens/max	0.06	1.000600	kernel	[kernel.kallsyms]	get_mem_cgroup_from_mm
dickens/max	0.05	1.000500	kernel	[kernel.kallsyms]	get_page_from_freelist
dickens/max	0.05	1.000500	kernel	[kernel.kallsyms]	arch_exit_to_user_mode_prepare.isra.0
dickens/max	0.05	1.000500	kernel	[kernel.kallsyms]	count_memcg_events.constprop.0
dickens/max	0.05	1.000500	kernel	[kernel.kallsyms]	__pte_offset_map_lock
dickens/max	0.05	1.000500	kernel	[kernel.kallsyms]	release_pages
dickens/max	0.04	1.000400	kernel	[kernel.kallsyms]	free_unref_page_list
dickens/max	0.04	1.000400	kernel	[kernel.kallsyms]	native_flush_tlb_one_user
dickens/max	0.04	1.000400	kernel	[kernel.kallsyms]	flush_tlb_mm_range
dickens/max	0.04	1.000400	kernel	[kernel.kallsyms]	__rmqueue_pcplist
dickens/max	0.04	1.000400	kernel	[kernel.kallsyms]	uncharge_folio
dickens/max	0.04	1.000400	kernel	[kernel.kallsyms]	folio_add_new_anon_rmap
dickens/max	0.04	1.000400	kernel	[kernel.kallsyms]	folio_batch_move_lru
dickens/max	0.04	1.000400	kernel	[kernel.kallsyms]	vma_alloc_folio
dickens/max	0.04	1.000400	kernel	[kernel.kallsyms]	error_return
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	__folio_throttle_swaprate
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	__mod_node_page_state
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	native_read_msr
dickens/max	0.03	1.000300	kernel	[kernel.kallsyms]	irqentry_exit_to_user_mode
