kind	name	applicable	calls	nanos	cycles	nanos_per_compressed_byte	cycles_per_compressed_byte
stage	framing	true	1	241	646	0.0023142146554124775	0.0062032475825579275
stage	entropy	true	16777216	20114204166	70374616010	193147.66001209922	675775.7997484131
stage	transforms	true	20971520	18545620750	64214110276	178085.25864469603	616619.2327178098
stage	match_copy	false	0	0	unavailable	not_applicable	not_applicable
stage	allocation	true	143	97868051	352421728	939.7828959371609	3384.147418354315
stage	output_materialization	true	2097152	118290509	172580122	1135.890578937766	1657.2093259969847
substage	transforms.start_byte	true	2097152	288063719	783140292	2766.146390881418	7520.1441534871665
substage	entropy.predict_bit	true	16777216	16102404552	55951980690	154624.15187393772	537281.7166479417
substage	entropy.range_get_freq	true	16777216	814200718	889218984	7818.4034607591775	8538.77014375018
substage	entropy.range_decode	true	16777216	842772153	1012089808	8092.762106415464	9718.643428494608
substage	transforms.update_bit	true	16777216	16016819918	55635815768	153802.32110928663	534245.7270379013
substage	transforms.end_byte	true	2097152	603167165	1915929234	5791.943124093759	18397.807103966814
model_split	model.counter_state_lookup	true	16777216	7701967269	25557708650	73958.52916774695	245419.18637590145
model_split	model.dot_products	true	16777216	5711070332	18538124490	54840.840914546905	178013.2754299542
model_split	model.adaptation	true	16777216	14599841010	50287721776	140195.70967649008	482890.38473578583
