sample	category	name	applicable	calls	cycles_per_compressed_byte	nanos_per_compressed_byte
mr	stage	framing	true	1	0.000331	0.000279
mr	stage	entropy	true	16777216	48041.209909	14874.826352
mr	stage	transforms	true	20971520	30320.211569	10347.240666
mr	stage	match_copy	false	0	NA	NA
mr	stage	allocation	true	20	64.206702	17.830190
mr	stage	output_materialization	true	2097152	478.899469	332.679100
mr	substage	transforms.start_byte	true	2097152	926.454324	446.417974
mr	substage	entropy.predict_bit	true	16777216	21425.420677	7487.236115
mr	substage	entropy.range_get_freq	false	0	NA	NA
mr	substage	entropy.range_decode	true	16777216	2740.225992	2310.840694
mr	substage	transforms.update_bit	true	16777216	10956.075906	4571.780094
mr	substage	transforms.end_byte	true	2097152	1352.541395	564.173378
mr	model	model.counter_state_lookup	false	0	NA	NA
mr	model	model.dot_products	false	0	NA	NA
mr	model	model.adaptation	false	0	NA	NA
nci	stage	framing	true	1	0.005973	0.002295
nci	stage	entropy	true	16777216	648565.372877	185456.834798
nci	stage	transforms	true	20971520	582847.978567	168532.871067
nci	stage	match_copy	false	0	NA	NA
nci	stage	allocation	true	143	4785.495194	1329.151384
nci	stage	output_materialization	true	2097152	1579.129874	1137.394089
nci	substage	transforms.start_byte	true	2097152	6678.268775	2516.663844
nci	substage	entropy.predict_bit	true	16777216	513804.652589	147966.662278
nci	substage	entropy.range_get_freq	true	16777216	8346.206935	7617.982687
nci	substage	entropy.range_decode	true	16777216	9471.210651	7899.455516
nci	substage	transforms.update_bit	true	16777216	503787.548738	145212.230221
nci	substage	transforms.end_byte	true	2097152	17314.871700	5473.109767
nci	model	model.counter_state_lookup	true	16777216	219047.946879	66533.833117
nci	model	model.dot_products	true	16777216	187092.612873	57279.171060
nci	model	model.adaptation	true	16777216	453819.010265	132104.380914
