corpus	file	type	orig	comp	ratio	rt	cmp	mode	compress_s	decompress_s
silesia	dickens	text	10192446	10192459	1.0000012754543905	OK	0	bitpack-fixed	0.03215217590332031	0.06432700157165527
silesia	mozilla	exe	51220480	51220493	1.0000002538047281	OK	0	bitpack-fixed	0.16466069221496582	0.16449713706970215
silesia	mr	image	9970564	9970577	1.0000013038379774	OK	0	bitpack-fixed	0.0641014575958252	0.06410026550292969
silesia	nci	database	33553445	33553458	1.0000003874415877	OK	0	bitpack-fixed	0.11445474624633789	0.11443352699279785
silesia	ooffice	exe	6152192	6152205	1.0000021130679926	OK	0	bitpack-fixed	0.03201580047607422	0.03197503089904785
silesia	osdb	database	10085684	10085697	1.000001288955712	OK	0	bitpack-fixed	0.03180265426635742	0.06391501426696777
silesia	reymont	text	6627202	6627215	1.0000019616121554	OK	0	bitpack-fixed	0.032145023345947266	0.03215193748474121
silesia	samba	code	21606400	21606413	1.0000006016735783	OK	0	bitpack-fixed	0.06429457664489746	0.0643606185913086
silesia	sao	binary	7251944	7251957	1.0000017926227782	OK	0	bitpack-fixed	0.03226470947265625	0.03217196464538574
silesia	webster	text	41458703	41458716	1.0000003135650433	OK	0	bitpack-fixed	0.11438345909118652	0.11438345909118652
silesia	x-ray	image	8474240	8474253	1.0000015340608714	OK	0	bitpack-fixed	0.03205227851867676	0.03197145462036133
silesia	xml	text	5345280	5345293	1.000002432052203	OK	0	bitpack-fixed	0.032195091247558594	0.03211021423339844
enwik8	enwik8	text	100000000	100000013	1.00000013	OK	0	bitpack-fixed	0.2647130489349365	0.2648301124572754
canterbury	alice29.txt	text	152089	152102	1.0000854762671856	OK	0	bitpack-fixed	0.003914356231689453	0.00360870361328125
canterbury	asyoulik.txt	text	125179	125192	1.00010385128496	OK	0	bitpack-fixed	0.003538846969604492	0.003568887710571289
canterbury	cp.html	code	24603	21654	0.8801365687111328	OK	0	bitpack-fixed	0.015557050704956055	0.0156705379486084
canterbury	fields.c	code	11150	9887	0.8867264573991032	OK	0	bitpack-fixed	0.007537364959716797	0.007503986358642578
canterbury	grammar.lsp	code	3721	3372	0.9062080085998387	OK	0	bitpack-fixed	0.0034372806549072266	0.0034477710723876953
canterbury	kennedy.xls	binary	1029744	1029757	1.0000126244969623	OK	0	bitpack-fixed	0.007492542266845703	0.007571697235107422
canterbury	lcet10.txt	text	426754	426767	1.000030462514704	OK	0	bitpack-fixed	0.0034477710723876953	0.003458738327026367
canterbury	plrabn12.txt	text	481861	481874	1.0000269787345313	OK	0	bitpack-fixed	0.0036153793334960938	0.003461599349975586
canterbury	ptt5	image	513216	513229	1.0000253304651452	OK	0	bitpack-fixed	0.0077056884765625	0.007623195648193359
canterbury	sum	binary	38240	38253	1.0003399581589958	OK	0	bitpack-fixed	0.015689849853515625	0.0034799575805664062
canterbury	xargs.1	text	4227	3813	0.9020581973030518	OK	0	bitpack-fixed	0.003567218780517578	0.0034322738647460938
