file	preset	build	sample	archive_sha256	comp_bytes	dec_s	dec_rss_kib	rt
dickens	max	base	1	c8aed8ae4c39d8a463e3d2bcb3fd082ec955d60fd320bbeec41af7a65922285e	461437	27.03	1543168	PASS
dickens	max	cand	1	c8aed8ae4c39d8a463e3d2bcb3fd082ec955d60fd320bbeec41af7a65922285e	461437	20.00	1719808	PASS
dickens	max	base	2	c8aed8ae4c39d8a463e3d2bcb3fd082ec955d60fd320bbeec41af7a65922285e	461437	27.14	1544192	PASS
dickens	max	cand	2	c8aed8ae4c39d8a463e3d2bcb3fd082ec955d60fd320bbeec41af7a65922285e	461437	19.97	1719808	PASS
dickens	max	base	3	c8aed8ae4c39d8a463e3d2bcb3fd082ec955d60fd320bbeec41af7a65922285e	461437	26.97	1543680	PASS
dickens	max	cand	3	c8aed8ae4c39d8a463e3d2bcb3fd082ec955d60fd320bbeec41af7a65922285e	461437	20.03	1719808	PASS
nci	max	base	1	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	18.71	1430528	PASS
nci	max	cand	1	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	15.67	1710080	PASS
nci	max	base	2	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	18.89	1428992	PASS
nci	max	cand	2	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	15.79	1710080	PASS
nci	max	base	3	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	18.76	1430016	PASS
nci	max	cand	3	1dcc11fa179e3aa0a0b745fba85b5c2187aa382b4b3022ec8ecd8839962b925b	104139	15.70	1710592	PASS
ooffice	max	base	1	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	25.76	1635328	PASS
ooffice	max	cand	1	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	18.96	1708032	PASS
ooffice	max	base	2	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	25.58	1635328	PASS
ooffice	max	cand	2	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	19.05	1708544	PASS
ooffice	max	base	3	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	25.43	1634816	PASS
ooffice	max	cand	3	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	18.99	1708544	PASS
dickens	balanced	base	1	25378abf1cbe18e016143c0f0401aac055db8fb1c2964e5a4525371ba400a5ad	472253	25.69	1486848	PASS
dickens	balanced	cand	1	25378abf1cbe18e016143c0f0401aac055db8fb1c2964e5a4525371ba400a5ad	472253	19.24	1654272	PASS
dickens	balanced	base	2	25378abf1cbe18e016143c0f0401aac055db8fb1c2964e5a4525371ba400a5ad	472253	25.87	1485824	PASS
dickens	balanced	cand	2	25378abf1cbe18e016143c0f0401aac055db8fb1c2964e5a4525371ba400a5ad	472253	19.22	1654784	PASS
dickens	balanced	base	3	25378abf1cbe18e016143c0f0401aac055db8fb1c2964e5a4525371ba400a5ad	472253	26.03	1486336	PASS
dickens	balanced	cand	3	25378abf1cbe18e016143c0f0401aac055db8fb1c2964e5a4525371ba400a5ad	472253	19.30	1654784	PASS
nci	balanced	base	1	c812943fd63414bf4ec185ee048b6550cc6b1a0a523dd3a63afe242bdf133066	108014	18.07	1385984	PASS
nci	balanced	cand	1	c812943fd63414bf4ec185ee048b6550cc6b1a0a523dd3a63afe242bdf133066	108014	15.04	1644544	PASS
nci	balanced	base	2	c812943fd63414bf4ec185ee048b6550cc6b1a0a523dd3a63afe242bdf133066	108014	18.08	1385984	PASS
nci	balanced	cand	2	c812943fd63414bf4ec185ee048b6550cc6b1a0a523dd3a63afe242bdf133066	108014	15.09	1644544	PASS
nci	balanced	base	3	c812943fd63414bf4ec185ee048b6550cc6b1a0a523dd3a63afe242bdf133066	108014	18.05	1385472	PASS
nci	balanced	cand	3	c812943fd63414bf4ec185ee048b6550cc6b1a0a523dd3a63afe242bdf133066	108014	15.11	1644544	PASS
ooffice	balanced	base	1	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	25.40	1635840	PASS
ooffice	balanced	cand	1	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	18.91	1708544	PASS
ooffice	balanced	base	2	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	25.32	1635840	PASS
ooffice	balanced	cand	2	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	19.10	1708032	PASS
ooffice	balanced	base	3	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	25.58	1635840	PASS
ooffice	balanced	cand	3	4d563b48ae509f11b65b0c71929e0b0375b2322b26aefc489b36aefeeacd60be	677605	18.95	1708032	PASS
dickens	web	base	1	0f3677eeadf937facb8c3b3fd79d6fc04677f19e0b648b983dd732db8a92ba0f	487506	22.55	110080	PASS
dickens	web	cand	1	0f3677eeadf937facb8c3b3fd79d6fc04677f19e0b648b983dd732db8a92ba0f	487506	17.22	112640	PASS
dickens	web	base	2	0f3677eeadf937facb8c3b3fd79d6fc04677f19e0b648b983dd732db8a92ba0f	487506	22.52	110592	PASS
