file	build	sample	comp_bytes	enc_s	enc_rss_kib	dec_s	dec_rss_kib	rt
dickens	old	1	461437	78.67	1631244	26.32	1543680	PASS
dickens	new	1	461437	59.95	1812584	20.06	1719296	PASS
dickens	old	2	461437	78.45	1631360	26.51	1543680	PASS
dickens	new	2	461437	59.57	1812908	19.90	1719808	PASS
dickens	old	3	461437	78.20	1631384	26.43	1543168	PASS
dickens	new	3	461437	59.53	1813672	19.91	1719808	PASS
nci	old	1	104139	116.74	1721868	18.04	1429504	PASS
nci	new	1	104139	111.43	1833900	15.62	1710080	PASS
nci	old	2	104139	116.94	1699260	18.05	1429504	PASS
nci	new	2	104139	111.25	1953708	15.62	1709568	PASS
nci	old	3	104139	116.67	1873468	18.15	1428992	PASS
nci	new	3	104139	111.18	1863676	15.65	1709568	PASS
ooffice	old	1	677605	121.71	1906912	24.99	1634816	PASS
ooffice	new	1	677605	110.91	1889832	19.06	1707520	PASS
ooffice	old	2	677605	122.17	1842384	25.02	1634304	PASS
ooffice	new	2	677605	110.47	2039436	19.06	1707008	PASS
ooffice	old	3	677605	122.00	1858580	25.06	1634816	PASS
ooffice	new	3	677605	110.87	1938700	19.02	1707520	PASS
