schema	cohort	file	relative_path	excluded_from_broad_claims	input_bytes	o4_m16_archive_bytes	o4_m64_archive_bytes	o4_m256_archive_bytes	o6_m16_archive_bytes	o6_m64_archive_bytes	o6_m256_archive_bytes	o8_m16_archive_bytes	o8_m64_archive_bytes	o8_m256_archive_bytes	o4_to_o6_at_m16_delta_bytes	o6_to_o8_at_m16_delta_bytes	o4_to_o6_at_m64_delta_bytes	o6_to_o8_at_m64_delta_bytes	o4_to_o6_at_m256_delta_bytes	o6_to_o8_at_m256_delta_bytes	m16_to_m64_at_o4_delta_bytes	m64_to_m256_at_o4_delta_bytes	m16_to_m64_at_o6_delta_bytes	m64_to_m256_at_o6_delta_bytes	m16_to_m64_at_o8_delta_bytes	m64_to_m256_at_o8_delta_bytes
new02-ppmd-oracle-results-v1	world	dickens	silesia/dickens	false	10192446	2498671	2498671	2498671	2341442	2296792	2296792	2455623	2272524	2272524	-157229	114181	-201879	-24268	-201879	-24268	0	0	-44650	0	-183099	0
new02-ppmd-oracle-results-v1	world	reymont	silesia/reymont	false	6627202	1263399	1263399	1263399	1141461	1141461	1141461	1096885	1071818	1071818	-121938	-44576	-121938	-69643	-121938	-69643	0	0	0	0	-25067	0
new02-ppmd-oracle-results-v1	world	webster	silesia/webster	false	41458703	7673604	7673604	7673604	7068044	6544130	6544130	7387437	6763725	6396385	-605560	319393	-1129474	219595	-1129474	-147745	0	0	-523914	0	-623712	-367340
new02-ppmd-oracle-results-v1	world	xml	silesia/xml	false	5345280	606520	606520	606520	496463	496463	496463	436482	436482	436482	-110057	-59981	-110057	-59981	-110057	-59981	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	world	enwik8	enwik8/enwik8	false	100000000	26060068	25726214	25726214	24849810	23301162	22403589	25388742	23576806	22074472	-1210258	538932	-2425052	275644	-3322625	-329117	-333854	0	-1548648	-897573	-1811936	-1502334
new02-ppmd-oracle-results-v1	world	alice29.txt	canterbury/alice29.txt	true	152089	40053	40053	40053	38986	38986	38986	38890	38890	38890	-1067	-96	-1067	-96	-1067	-96	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	world	asyoulik.txt	canterbury/asyoulik.txt	true	125179	36690	36690	36690	36344	36344	36344	36340	36340	36340	-346	-4	-346	-4	-346	-4	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	world	cp.html	canterbury/cp.html	true	24603	6816	6816	6816	6692	6692	6692	6688	6688	6688	-124	-4	-124	-4	-124	-4	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	world	lcet10.txt	canterbury/lcet10.txt	true	426754	101312	101312	101312	96553	96553	96553	96254	96254	96254	-4759	-299	-4759	-299	-4759	-299	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	world	plrabn12.txt	canterbury/plrabn12.txt	true	481861	134803	134803	134803	132529	132529	132529	133119	133119	133119	-2274	590	-2274	590	-2274	590	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	world	xargs.1	canterbury/xargs.1	true	4227	1621	1621	1621	1610	1610	1610	1612	1612	1612	-11	2	-11	2	-11	2	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	binary_mixed.bin	binary_mixed.bin	false	8192	5467	5467	5467	5467	5467	5467	5467	5467	5467	0	0	0	0	0	0	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	block_bound_runs.bin	block_bound_runs.bin	false	65536	2646	2646	2646	2621	2621	2621	2578	2578	2578	-25	-43	-25	-43	-25	-43	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	both_sparse_16.bin	both_sparse_16.bin	false	16	166	166	166	166	166	166	166	166	166	0	0	0	0	0	0	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	both_sparse_24.bin	both_sparse_24.bin	false	24	175	175	175	175	175	175	175	175	175	0	0	0	0	0	0	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	dense.bin	dense.bin	false	4096	4394	4394	4394	4394	4394	4394	4394	4394	4394	0	0	0	0	0	0	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	log_like.bin	log_like.bin	false	16384	579	579	579	510	510	510	511	511	511	-69	1	-69	1	-69	1	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	random_high.bin	random_high.bin	false	4096	4411	4411	4411	4411	4411	4411	4411	4411	4411	0	0	0	0	0	0	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	sparse_clustered.bin	sparse_clustered.bin	false	2048	244	244	244	249	249	249	253	253	253	5	4	5	4	5	4	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	sparse_small.bin	sparse_small.bin	false	256	164	164	164	165	165	165	165	165	165	1	0	1	0	1	0	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	tuned	text.bin	text.bin	false	16384	1302	1302	1302	1298	1298	1298	1362	1362	1362	-4	64	-4	64	-4	64	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	holdout	rust_src.rs	rust_src.rs	false	26805	6176	6176	6176	5926	5926	5926	5777	5777	5777	-250	-149	-250	-149	-250	-149	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	holdout	c_header.h	c_header.h	false	34649	6139	6139	6139	5711	5711	5711	5579	5579	5579	-428	-132	-428	-132	-428	-132	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	holdout	config.json	config.json	false	66294	8133	8133	8133	7416	7416	7416	7163	7163	7163	-717	-253	-717	-253	-717	-253	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	holdout	prose.txt	prose.txt	false	17774	5723	5723	5723	5642	5642	5642	5593	5593	5593	-81	-49	-81	-49	-81	-49	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	holdout	data.csv	data.csv	false	17029	3301	3301	3301	3287	3287	3287	3305	3305	3305	-14	18	-14	18	-14	18	0	0	0	0	0	0
new02-ppmd-oracle-results-v1	holdout	exe.bin	exe.bin	false	39384	13267	13267	13267	13139	13139	13139	13064	13064	13064	-128	-75	-128	-75	-128	-75	0	0	0	0	0	0
