# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 99K of event 'cycles'
# Event count (approx.): 330892085977
#
# Overhead  Command  Shared Object      Symbol                                   
# ........  .......  .................  .........................................
#
    58.36%  cubrim   cubrim             [.] cubrim::cm2::CmModel::predict_bit
    17.93%  cubrim   cubrim             [.] cubrim::cm2::Ctr::upd
    10.04%  cubrim   cubrim             [.] cubrim::cm2::CmModel::update_bit
     4.12%  cubrim   cubrim             [.] cubrim::cm2::Match::end
     0.96%  cubrim   cubrim             [.] cubrim::cm2::CmModel::start_byte
     0.62%  cubrim   cubrim             [.] cubrim::cm2::cm2_decode
     0.57%  cubrim   [kernel.kallsyms]  [k] clear_page_rep
     0.51%  cubrim   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.32%  cubrim   [kernel.kallsyms]  [k] __handle_mm_fault
     0.28%  cubrim   [kernel.kallsyms]  [k] srso_safe_ret
     0.27%  cubrim   [kernel.kallsyms]  [k] wp_page_copy
     0.26%  cubrim   [kernel.kallsyms]  [k] zap_pte_range
     0.24%  cubrim   [kernel.kallsyms]  [k] __rcu_read_unlock
     0.21%  cubrim   [kernel.kallsyms]  [k] lru_gen_del_folio.constprop.0
     0.20%  cubrim   [kernel.kallsyms]  [k] _raw_spin_lock
     0.17%  cubrim   [kernel.kallsyms]  [k] handle_mm_fault
     0.17%  cubrim   [kernel.kallsyms]  [k] do_user_addr_fault
     0.16%  cubrim   [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.16%  cubrim   [kernel.kallsyms]  [k] __free_one_page
     0.16%  cubrim   [kernel.kallsyms]  [k] handle_pte_fault
     0.13%  cubrim   [kernel.kallsyms]  [k] exc_page_fault
     0.12%  cubrim   [kernel.kallsyms]  [k] __rcu_read_lock
     0.11%  cubrim   cubrim             [.] cubrim::cm2::CmModel::end_byte
     0.10%  cubrim   [kernel.kallsyms]  [k] rmqueue_bulk
     0.10%  cubrim   [kernel.kallsyms]  [k] lock_vma_under_rcu
     0.10%  cubrim   [kernel.kallsyms]  [k] __count_memcg_events
     0.10%  cubrim   [kernel.kallsyms]  [k] mas_walk
     0.09%  cubrim   [kernel.kallsyms]  [k] __lruvec_stat_mod_folio
     0.08%  cubrim   [kernel.kallsyms]  [k] __pte_offset_map
     0.08%  cubrim   [kernel.kallsyms]  [k] arch_exit_to_user_mode_prepare.isra.0
     0.08%  cubrim   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.08%  cubrim   [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.08%  cubrim   [kernel.kallsyms]  [k] __pte_offset_map_lock
     0.07%  cubrim   [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.07%  cubrim   [kernel.kallsyms]  [k] sync_regs
     0.07%  cubrim   [kernel.kallsyms]  [k] error_entry
     0.07%  cubrim   [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.07%  cubrim   [kernel.kallsyms]  [k] blk_cgroup_congested
     0.07%  cubrim   [kernel.kallsyms]  [k] lru_add_fn
     0.07%  cubrim   [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.07%  cubrim   [kernel.kallsyms]  [k] do_wp_page
