bucket	sample_count	sum_period	sum_period_squared	total_period	share
state_map_predict	0	0	0	262981754568	0.000000000
state_map_predict_call	0	0	0	262981754568	0.000000000
state_map_update	0	0	0	262981754568	0.000000000
state_map_update_call	0	0	0	262981754568	0.000000000
sm_div	0	0	0	262981754568	0.000000000
ctr_predict_stationary	0	0	0	262981754568	0.000000000
ctr_update_stationary	0	0	0	262981754568	0.000000000
ctr_next_state	0	0	0	262981754568	0.000000000
ctr_record_store	0	0	0	262981754568	0.000000000
target_unresolved	0	0	0	262981754568	0.000000000
other_user	78052	260941697569	872449098630231457	262981754568	0.992242591
kernel	632	2040056999	6988680016665249	262981754568	0.007757409
other_dso	0	0	0	262981754568	0.000000000
