# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cycles'
# Event count (approx.): 262981754568
#
# Overhead  Command  Shared Object      Symbol                                   
# ........  .......  .................  .........................................
#
    60.12%  cubrim   cubrim             [.] cubrim::cm2::CmModel::predict_bit
    21.75%  cubrim   cubrim             [.] cubrim::cm2::Ctr::upd
    12.22%  cubrim   cubrim             [.] cubrim::cm2::CmModel::update_bit
     2.48%  cubrim   cubrim             [.] cubrim::cm2::Match::end
     1.70%  cubrim   cubrim             [.] cubrim::cm2::CmModel::start_byte
     0.81%  cubrim   cubrim             [.] cubrim::cm2::cm2_decode
     0.14%  cubrim   cubrim             [.] cubrim::cm2::CmModel::end_byte
     0.07%  cubrim   [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.03%  cubrim   [kernel.kallsyms]  [k] native_write_msr
     0.03%  cubrim   [kernel.kallsyms]  [k] native_read_msr
     0.03%  cubrim   [kernel.kallsyms]  [k] __const_udelay
     0.02%  cubrim   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.02%  cubrim   [kernel.kallsyms]  [k] __raw_spin_lock_irqsave
     0.02%  cubrim   [kernel.kallsyms]  [k] ktime_get
     0.02%  cubrim   [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.02%  cubrim   [kernel.kallsyms]  [k] amd_pmu_addr_offset
     0.01%  cubrim   [kernel.kallsyms]  [k] _raw_spin_lock
     0.01%  cubrim   [kernel.kallsyms]  [k] timekeeping_advance
     0.01%  cubrim   [kernel.kallsyms]  [k] update_load_avg
     0.01%  cubrim   [kernel.kallsyms]  [k] update_cfs_group
     0.01%  cubrim   [kernel.kallsyms]  [k] tick_do_update_jiffies64
     0.01%  cubrim   [kernel.kallsyms]  [k] __handle_mm_fault
     0.01%  cubrim   [kernel.kallsyms]  [k] sched_clock_cpu
     0.01%  cubrim   [kernel.kallsyms]  [k] delay_halt_mwaitx
     0.01%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable_all
     0.01%  cubrim   [kernel.kallsyms]  [k] __count_memcg_events
     0.01%  cubrim   [kernel.kallsyms]  [k] sync_regs
     0.01%  cubrim   [kernel.kallsyms]  [k] notifier_call_chain
     0.01%  cubrim   [kernel.kallsyms]  [k] update_curr
     0.01%  cubrim   [kernel.kallsyms]  [k] __rcu_read_unlock
     0.01%  cubrim   [kernel.kallsyms]  [k] srso_safe_ret
     0.01%  cubrim   [kernel.kallsyms]  [k] task_tick_fair
     0.01%  cubrim   [kernel.kallsyms]  [k] read_tsc
     0.01%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.01%  cubrim   [kernel.kallsyms]  [k] task_mm_cid_work
     0.01%  cubrim   [kernel.kallsyms]  [k] clear_page_rep
     0.01%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_se
     0.01%  cubrim   [kernel.kallsyms]  [k] blk_cgroup_congested
     0.01%  cubrim   [kernel.kallsyms]  [k] account_user_time
     0.01%  cubrim   [kernel.kallsyms]  [k] arch_exit_to_user_mode_prepare.isra.0
     0.01%  cubrim   [kernel.kallsyms]  [k] irq_work_tick
     0.01%  cubrim   [kernel.kallsyms]  [k] pvclock_gtod_notify
     0.01%  cubrim   [kernel.kallsyms]  [k] exc_page_fault
     0.01%  cubrim   [kernel.kallsyms]  [k] sugov_update_single_freq
     0.01%  cubrim   [kernel.kallsyms]  [k] irq_enter_rcu
     0.01%  cubrim   [kernel.kallsyms]  [k] update_process_times
     0.01%  cubrim   [kernel.kallsyms]  [k] update_fast_timekeeper
     0.01%  cubrim   [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.01%  cubrim   [kernel.kallsyms]  [k] scheduler_tick
     0.01%  cubrim   [kernel.kallsyms]  [k] error_entry
     0.01%  cubrim   [kernel.kallsyms]  [k] native_sched_clock
     0.01%  cubrim   [kernel.kallsyms]  [k] sugov_should_update_freq
     0.01%  cubrim   [kernel.kallsyms]  [k] handle_pte_fault
     0.00%  cubrim   [kernel.kallsyms]  [k] kmem_cache_alloc
     0.00%  cubrim   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.00%  cubrim   [kernel.kallsyms]  [k] __calc_delta.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] __cgroup_account_cputime_field
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_nohz_highres_handler
     0.00%  cubrim   [kernel.kallsyms]  [k] __rmqueue_pcplist
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  cubrim   [kernel.kallsyms]  [k] timekeeping_update
     0.00%  cubrim   [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.00%  cubrim   [kernel.kallsyms]  [k] error_return
     0.00%  cubrim   [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.00%  cubrim   [kernel.kallsyms]  [k] __pte_offset_map
     0.00%  cubrim   [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  cubrim   [kernel.kallsyms]  [k] update_vdso_data.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] _raw_spin_trylock
     0.00%  cubrim   [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.00%  cubrim   [kernel.kallsyms]  [k] rmqueue_bulk
     0.00%  cubrim   [kernel.kallsyms]  [k] count_memcg_events.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] lru_gen_del_folio.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_pending
     0.00%  cubrim   [kernel.kallsyms]  [k] do_user_addr_fault
     0.00%  cubrim   [kernel.kallsyms]  [k] lru_gen_add_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.00%  cubrim   [kernel.kallsyms]  [k] irqentry_exit
     0.00%  cubrim   [kernel.kallsyms]  [k] __pte_offset_map_lock
     0.00%  cubrim   [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  cubrim   [kernel.kallsyms]  [k] release_pages
     0.00%  cubrim   [kernel.kallsyms]  [k] amd_pmu_check_overflow
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_segcblist_ready_cbs
     0.00%  cubrim   [kernel.kallsyms]  [k] raw_notifier_call_chain
     0.00%  cubrim   [kernel.kallsyms]  [k] update_vsyscall
     0.00%  cubrim   [kernel.kallsyms]  [k] acct_account_cputime
     0.00%  cubrim   [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.00%  cubrim   [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] delay_halt.part.0
     0.00%  cubrim   [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  cubrim   [kernel.kallsyms]  [k] delay_halt
     0.00%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  cubrim   [kernel.kallsyms]  [k] folio_add_lru
     0.00%  cubrim   [kernel.kallsyms]  [k] handle_mm_fault
     0.00%  cubrim   [kernel.kallsyms]  [k] down_read_trylock
     0.00%  cubrim   [kernel.kallsyms]  [k] pfn_pte
     0.00%  cubrim   [kernel.kallsyms]  [k] lru_add_fn
     0.00%  cubrim   [kernel.kallsyms]  [k] lapic_next_event
     0.00%  cubrim   [kernel.kallsyms]  [k] __lruvec_stat_mod_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] get_vma_policy
     0.00%  cubrim   [kernel.kallsyms]  [k] wp_page_copy
     0.00%  cubrim   [kernel.kallsyms]  [k] __note_gp_changes
     0.00%  cubrim   [kernel.kallsyms]  [k] update_rq_clock
     0.00%  cubrim   [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.00%  cubrim   [kernel.kallsyms]  [k] vma_alloc_folio
     0.00%  taskset  [kernel.kallsyms]  [k] clear_page_rep
     0.00%  cubrim   [kernel.kallsyms]  [k] __free_one_page
     0.00%  cubrim   [kernel.kallsyms]  [k] policy_nodemask
     0.00%  cubrim   [kernel.kallsyms]  [k] update_wall_time
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_clock_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_active
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_sched_handle
     0.00%  cubrim   [kernel.kallsyms]  [k] timekeeping_adjust.constprop.0
     0.00%  cubrim   [kernel.kallsyms]  [k] native_apic_mem_eoi
     0.00%  cubrim   [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%  cubrim   [kernel.kallsyms]  [k] cpu_util_cfs_boost
     0.00%  cubrim   [kernel.kallsyms]  [k] ntp_tick_length
     0.00%  cubrim   [kernel.kallsyms]  [k] zap_pte_range
     0.00%  cubrim   [kernel.kallsyms]  [k] pte_offset_map_nolock
     0.00%  cubrim   [kernel.kallsyms]  [k] access_error
     0.00%  cubrim   [kernel.kallsyms]  [k] kthread_blkcg
     0.00%  cubrim   [kernel.kallsyms]  [k] effective_cpu_util
     0.00%  cubrim   [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.00%  cubrim   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.00%  cubrim   [kernel.kallsyms]  [k] alloc_anon_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] sched_mm_cid_remote_clear
     0.00%  cubrim   [kernel.kallsyms]  [k] get_pfnblock_flags_mask
     0.00%  cubrim   [kernel.kallsyms]  [k] timerqueue_del
     0.00%  cubrim   [kernel.kallsyms]  [k] __radix_tree_lookup
     0.00%  cubrim   [kernel.kallsyms]  [k] mas_wr_walk
     0.00%  cubrim   [kernel.kallsyms]  [k] rcu_core
     0.00%  cubrim   [kernel.kallsyms]  [k] cpu_util
     0.00%  cubrim   [kernel.kallsyms]  [k] tick_program_event
     0.00%  cubrim   [kernel.kallsyms]  [k] raw_spin_rq_lock_nested
     0.00%  cubrim   [kernel.kallsyms]  [k] folio_batch_move_lru
     0.00%  cubrim   [kernel.kallsyms]  [k] hrtimer_run_queues
     0.00%  cubrim   [kernel.kallsyms]  [k] load_balance
     0.00%  cubrim   [kernel.kallsyms]  [k] update_curr_se
     0.00%  cubrim   [kernel.kallsyms]  [k] irqentry_enter
     0.00%  cubrim   [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  cubrim   [kernel.kallsyms]  [k] uncharge_folio
     0.00%  cubrim   [kernel.kallsyms]  [k] calc_global_load_tick
     0.00%  cubrim   [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.00%  cubrim   [kernel.kallsyms]  [k] do_wp_page
     0.00%  cubrim   [kernel.kallsyms]  [k] perf_ctx_disable
     0.00%  cubrim   [kernel.kallsyms]  [k] __mod_lruvec_state
     0.00%  cubrim   [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.00%  cubrim   [kernel.kallsyms]  [k] __slab_free
