bucket	sample_count	sum_period	sum_period_squared	total_period	share
state_map_predict	0	0	0	141280526775	0.000000000
state_map_predict_call	0	0	0	141280526775	0.000000000
state_map_update	0	0	0	141280526775	0.000000000
state_map_update_call	0	0	0	141280526775	0.000000000
sm_div	0	0	0	141280526775	0.000000000
ctr_predict_stationary	0	0	0	141280526775	0.000000000
ctr_update_stationary	0	0	0	141280526775	0.000000000
ctr_next_state	0	0	0	141280526775	0.000000000
ctr_record_store	0	0	0	141280526775	0.000000000
target_unresolved	0	0	0	141280526775	0.000000000
other_user	37912	126708689354	423506244379608800	141280526775	0.896858840
kernel	4405	14571837421	48531591286006347	141280526775	0.103141160
other_dso	0	0	0	141280526775	0.000000000
