field	value
host	dev-ai
remote_evidence_root	/root/cubr-new24-full-binary-g4-20260809.partial
main_commit	708cda945a285526610371d812e4f54725eb6baf
main_tree	9cdad69314f94e0cc0323b1dd6fb64d34c0f677b
instrument_commit	ced543590f7529721f894011829a9d0e8f91385d
instrument_tree	bb07cbb1fd40bc61e1ab4001c17a2d52870b8239
instrument_ancestor_of_main	yes
source_commit	830a9a31deb00926a97f3fa5bd74f58003573fc0
source_tree	a2638f1a20c7654e0efde9d09f9a8807ef7523b2
runner_blob	63fcf9b26d4ff54e6857e66a3b4b87cd425503ab
runner_sha256	9db371bfab3376785744d0a1399ab79e8f033cb8f29eb920315556a23e821f32
runner_test_blob	0e057269d64fe4ecca8099928c44d7fe9905c480
runner_test_sha256	1da8ac44536547d70ab769907954d6e4088618865584db0ed53b057fefb7c1b3
mapper_blob	b0ee509b1909c4f77dcd11490626f9d1d06773b6
mapper_sha256	36226ff6caf35983a97fa472b1433e37f18a6ac4b565d1ae016e27cd957ae5e1
mapper_test_blob	b6e546413ebd56d423abd6b24744476c0f6e2f6f
mapper_test_sha256	97af2daacca00b20d9eb56dee34d56f9a3a9c22ffcdba820bfce171e7a371314
