type	mode	uid	gid	size_bytes	sha256	path
d	500	0	0	4096	-	.
f	444	0	0	101	9d572e9c9de58c216126a7c4840a1f79686bf3a2ed0ed6b7bd03bee915dc5ab2	FAILED.STAMP
d	500	0	0	4096	-	preflight
f	444	0	0	436	570e43287d4bf44fea301a47eb103983431ef2e59cfb730c576a69ddd8063b7c	preflight/cell-inputs.tsv
f	444	0	0	792	8c394c3a7db6fb2c726738903b2e3f7918cd96f440ff387889af6fe05036526c	preflight/journal.tsv
f	444	0	0	76	29c7de8e895610066e8ade979ebd0b53a4801287f6922cd69781ecac67f4e842	preflight/perf-branch-misses.csv
f	444	0	0	72	1ec9827bb9abac3f0170a900a1e63578f22c72b5e29a58500764a1848bdac983	preflight/perf-branches.csv
f	444	0	0	75	c65e8d6c949fb2a945d508eee9627952bef662fede1975ca1a1102e328e74e05	preflight/perf-cache-misses.csv
f	444	0	0	79	03b0ef59501a04d476339b65002cb9553607be9d6057f43a9ec30dcd8aedd757	preflight/perf-cache-references.csv
f	444	0	0	71	542b825e2deef37531ccd2aea09f0d94385718cd24a3452a9c634c97fd869280	preflight/perf-cycles.csv
f	444	0	0	77	0a0159f2baff3cb4f5eb0c647cdcc7502fe0d45a1a2f3f9a8335996f89524234	preflight/perf-dTLB-load-misses.csv
f	444	0	0	203	5c39beac161eb79d55f1d4a0d9ce31334292338fa7f95b298c75540f1e89310d	preflight/perf-events.tsv
f	444	0	0	76	6a2ad9c3bbf536d2d34fff6c1030bab5264893ec8e5de1da17bd8bc57dd10df7	preflight/perf-instructions.csv
f	444	0	0	71	5cdc459985e241c984fadfb27525b3e0b273f134d220a7235ff165cc1ca6aacc	preflight/perf-page-faults.csv
f	444	0	0	94	e034967aab9e6596dd58356e9025e2b5e1e2a61e1b5aa4c8f9b44003716f6da9	preflight/perf-task-clock.csv
f	444	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	preflight/process-conflicts.txt
f	444	0	0	70377	b4690830bfb4cb43bd68cbec6f8193e82457af5b998382102053ca8aa7e6165c	preflight/process-snapshot.txt
f	444	0	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	preflight/runner-contract-test.txt
f	444	0	0	8	b7228e21d1b1eb96293ec7d3da850f442283ac883ea8ed7ee7f45380d04ecefa	preflight/systemd-cgroup-baseline.pids
f	444	0	0	253	df2fc90a9bb7f87a9af33beb7c704fddd0695d11805cf7f8aa0e51f5f4fe46eb	preflight/systemd-contract.txt
