file	tool	setting	sample	cmp	sha256	verdict
dickens	xz	-9	1	PASS	PASS	OK
dickens	xz	-9	2	PASS	PASS	OK
dickens	xz	-9	3	PASS	PASS	OK
dickens	zstd	-19	1	PASS	PASS	OK
dickens	zstd	-19	2	PASS	PASS	OK
dickens	zstd	-19	3	PASS	PASS	OK
dickens	brotli	-q11	1	PASS	PASS	OK
dickens	brotli	-q11	2	PASS	PASS	OK
dickens	brotli	-q11	3	PASS	PASS	OK
dickens	gzip	-9	1	PASS	PASS	OK
dickens	gzip	-9	2	PASS	PASS	OK
dickens	gzip	-9	3	PASS	PASS	OK
dickens	bzip2	-9	1	PASS	PASS	OK
dickens	bzip2	-9	2	PASS	PASS	OK
dickens	bzip2	-9	3	PASS	PASS	OK
dickens	lz4	-12	1	PASS	PASS	OK
dickens	lz4	-12	2	PASS	PASS	OK
dickens	lz4	-12	3	PASS	PASS	OK
x-ray	xz	-9	1	PASS	PASS	OK
x-ray	xz	-9	2	PASS	PASS	OK
x-ray	xz	-9	3	PASS	PASS	OK
x-ray	zstd	-19	1	PASS	PASS	OK
x-ray	zstd	-19	2	PASS	PASS	OK
x-ray	zstd	-19	3	PASS	PASS	OK
x-ray	brotli	-q11	1	PASS	PASS	OK
x-ray	brotli	-q11	2	PASS	PASS	OK
x-ray	brotli	-q11	3	PASS	PASS	OK
x-ray	gzip	-9	1	PASS	PASS	OK
x-ray	gzip	-9	2	PASS	PASS	OK
x-ray	gzip	-9	3	PASS	PASS	OK
x-ray	bzip2	-9	1	PASS	PASS	OK
x-ray	bzip2	-9	2	PASS	PASS	OK
x-ray	bzip2	-9	3	PASS	PASS	OK
x-ray	lz4	-12	1	PASS	PASS	OK
x-ray	lz4	-12	2	PASS	PASS	OK
x-ray	lz4	-12	3	PASS	PASS	OK
x-ray	cubrim	max	1	PASS	PASS	OK
x-ray	cubrim	max	2	PASS	PASS	OK
x-ray	cubrim	max	3	PASS	PASS	OK
dickens	cubrim	max	1	PASS	PASS	OK
dickens	cubrim	max	2	PASS	PASS	OK
dickens	cubrim	max	3	PASS	PASS	OK
