round	file	tool	wall_s	load1_before	cmp	sha256	verdict
1	dickens	cubrim	208.090703552	10.56	PASS	PASS	OK
1	dickens	xz	.341133570	13.17	PASS	PASS	OK
1	dickens	zstd	.103914049	13.17	PASS	PASS	OK
1	dickens	brotli	.127216782	13.17	PASS	PASS	OK
1	dickens	gzip	.159212906	13.17	PASS	PASS	OK
1	dickens	bzip2	1.898752000	16.12	PASS	PASS	OK
1	dickens	lz4	.058414594	16.12	PASS	PASS	OK
2	dickens	cubrim	288.285884862	16.12	PASS	PASS	OK
2	dickens	xz	.229570839	31.18	PASS	PASS	OK
2	dickens	zstd	.090162446	31.18	PASS	PASS	OK
2	dickens	brotli	.090465470	31.18	PASS	PASS	OK
2	dickens	gzip	.116977096	31.18	PASS	PASS	OK
2	dickens	bzip2	.825794169	31.18	PASS	PASS	OK
2	dickens	lz4	.043945462	31.18	PASS	PASS	OK
3	dickens	cubrim	257.714894357	31.18	PASS	PASS	OK
3	dickens	xz	.195810807	13.98	PASS	PASS	OK
3	dickens	zstd	.063411921	13.42	PASS	PASS	OK
3	dickens	brotli	.080932353	13.42	PASS	PASS	OK
3	dickens	gzip	.113002328	13.42	PASS	PASS	OK
3	dickens	bzip2	.616861414	13.42	PASS	PASS	OK
3	dickens	lz4	.028081041	13.42	PASS	PASS	OK
