file	tool	setting	phase	sample	wall_s	rss_kib	archive_bytes
dickens	xz	-9	timed	1	0.17	12288	2830604
dickens	xz	-9	timed	2	0.17	12288	2830604
dickens	xz	-9	timed	3	0.16	12288	2830604
dickens	zstd	-19	timed	1	0.02	11904	2850281
dickens	zstd	-19	timed	2	0.03	11776	2850281
dickens	zstd	-19	timed	3	0.03	11776	2850281
dickens	brotli	-q11	timed	1	0.05	12928	2827777
dickens	brotli	-q11	timed	2	0.05	13056	2827777
dickens	brotli	-q11	timed	3	0.05	13056	2827777
dickens	gzip	-9	timed	1	0.07	3456	3851823
dickens	gzip	-9	timed	2	0.08	3584	3851823
dickens	gzip	-9	timed	3	0.07	3584	3851823
dickens	bzip2	-9	timed	1	0.54	4864	2799520
dickens	bzip2	-9	timed	2	0.81	4864	2799520
dickens	bzip2	-9	timed	3	0.74	4864	2799520
dickens	lz4	-12	timed	1	0.02	7424	4384871
dickens	lz4	-12	timed	2	0.02	7424	4384871
dickens	lz4	-12	timed	3	0.01	7424	4384871
x-ray	xz	-9	timed	1	0.55	10368	4489868
x-ray	xz	-9	timed	2	0.62	10496	4489868
x-ray	xz	-9	timed	3	0.37	10496	4489868
x-ray	zstd	-19	timed	1	0.04	11776	5155753
x-ray	zstd	-19	timed	2	0.04	11648	5155753
x-ray	zstd	-19	timed	3	0.03	11520	5155753
x-ray	brotli	-q11	timed	1	0.22	11520	4682753
x-ray	brotli	-q11	timed	2	0.44	11392	4682753
x-ray	brotli	-q11	timed	3	0.14	11520	4682753
x-ray	gzip	-9	timed	1	0.13	3456	6037713
x-ray	gzip	-9	timed	2	0.17	3584	6037713
x-ray	gzip	-9	timed	3	0.2	3584	6037713
x-ray	bzip2	-9	timed	1	1.42	4864	4051112
x-ray	bzip2	-9	timed	2	1.47	4736	4051112
x-ray	bzip2	-9	timed	3	1.43	4864	4051112
x-ray	lz4	-12	timed	1	0.02	9216	7180314
x-ray	lz4	-12	timed	2	0.04	9216	7180314
x-ray	lz4	-12	timed	3	0.06	9088	7180314
x-ray	cubrim	max	timed	1	5.96	90496	3637036
x-ray	cubrim	max	timed	2	6.88	90496	3637036
x-ray	cubrim	max	timed	3	7.15	90496	3637036
dickens	cubrim	max	timed	1	334.3	11056768	2112521
dickens	cubrim	max	timed	2	214.3	11056640	2112521
dickens	cubrim	max	timed	3	188.02	11056512	2112521
