round	file	tool	cmp	sha256	verdict
1	dickens	cubrim	PASS	PASS	OK
1	dickens	xz	PASS	PASS	OK
1	dickens	zstd	PASS	PASS	OK
1	dickens	brotli	PASS	PASS	OK
1	dickens	gzip	PASS	PASS	OK
1	dickens	bzip2	PASS	PASS	OK
1	dickens	lz4	PASS	PASS	OK
2	dickens	cubrim	PASS	PASS	OK
2	dickens	xz	PASS	PASS	OK
2	dickens	zstd	PASS	PASS	OK
2	dickens	brotli	PASS	PASS	OK
2	dickens	gzip	PASS	PASS	OK
2	dickens	bzip2	PASS	PASS	OK
2	dickens	lz4	PASS	PASS	OK
3	dickens	cubrim	PASS	PASS	OK
3	dickens	xz	PASS	PASS	OK
3	dickens	zstd	PASS	PASS	OK
3	dickens	brotli	PASS	PASS	OK
3	dickens	gzip	PASS	PASS	OK
3	dickens	bzip2	PASS	PASS	OK
3	dickens	lz4	PASS	PASS	OK
