round	file	tool	wall_s	load1_before	rss_kib
1	dickens	cubrim	229.3	48.96	119296
1	dickens	xz	0.18	18.08	12288
1	dickens	zstd	0.04	18.08	11904
1	dickens	brotli	0.08	18.08	12928
1	dickens	gzip	0.08	18.08	3456
1	dickens	bzip2	0.75	18.08	4864
1	dickens	lz4	0.03	18.08	7296
2	dickens	cubrim	160.83	18.08	119424
2	dickens	xz	0.24	11.94	12032
2	dickens	zstd	0.06	11.94	11904
2	dickens	brotli	0.08	11.94	12928
2	dickens	gzip	0.09	11.94	3456
2	dickens	bzip2	1.1	11.94	4864
2	dickens	lz4	0.05	12.11	7296
3	dickens	cubrim	200.1	12.11	119552
3	dickens	xz	0.25	20.11	12288
3	dickens	zstd	0.08	20.11	12032
3	dickens	brotli	0.08	20.11	13056
3	dickens	gzip	0.09	20.11	3456
3	dickens	bzip2	1.25	20.11	4864
3	dickens	lz4	0.03	20.11	7424
