round	file	tool	cmp	sha256	verdict
1	xml	cubrim	PASS	PASS	OK
1	xml	xz	PASS	PASS	OK
1	xml	zstd	PASS	PASS	OK
1	xml	brotli	PASS	PASS	OK
1	xml	gzip	PASS	PASS	OK
1	xml	bzip2	PASS	PASS	OK
1	xml	lz4	PASS	PASS	OK
2	xml	cubrim	PASS	PASS	OK
2	xml	xz	PASS	PASS	OK
2	xml	zstd	PASS	PASS	OK
2	xml	brotli	PASS	PASS	OK
2	xml	gzip	PASS	PASS	OK
2	xml	bzip2	PASS	PASS	OK
2	xml	lz4	PASS	PASS	OK
3	xml	cubrim	PASS	PASS	OK
3	xml	xz	PASS	PASS	OK
3	xml	zstd	PASS	PASS	OK
3	xml	brotli	PASS	PASS	OK
3	xml	gzip	PASS	PASS	OK
3	xml	bzip2	PASS	PASS	OK
3	xml	lz4	PASS	PASS	OK
