round	file	tool	wall_s	load1_before	rss_kib
1	xml	cubrim	146.88	40.48	5844992
1	xml	xz	0.07	40.93	7552
1	xml	zstd	0.02	40.93	8832
1	xml	brotli	0.02	40.93	8064
1	xml	gzip	0.07	40.93	3456
1	xml	bzip2	0.62	40.93	4864
1	xml	lz4	0.02	40.93	6144
2	xml	cubrim	190.29	40.93	5844992
2	xml	xz	0.11	59.00	7552
2	xml	zstd	0.03	59.00	9216
2	xml	brotli	0.04	59.00	8064
2	xml	gzip	0.05	59.00	3456
2	xml	bzip2	0.79	59.00	4864
2	xml	lz4	0.05	59.97	6144
3	xml	cubrim	169.04	59.97	5844992
3	xml	xz	0.06	49.84	7424
3	xml	zstd	0.04	49.84	9088
3	xml	brotli	0.05	49.84	8064
3	xml	gzip	0.06	49.84	3584
3	xml	bzip2	0.39	49.84	4864
3	xml	lz4	0.02	49.84	6144
