round	file	tool	cmp	sha256	verdict
1	x-ray	cubrim	PASS	PASS	OK
1	x-ray	xz	PASS	PASS	OK
1	x-ray	zstd	PASS	PASS	OK
1	x-ray	brotli	PASS	PASS	OK
1	x-ray	gzip	PASS	PASS	OK
1	x-ray	bzip2	PASS	PASS	OK
1	x-ray	lz4	PASS	PASS	OK
2	x-ray	cubrim	PASS	PASS	OK
2	x-ray	xz	PASS	PASS	OK
2	x-ray	zstd	PASS	PASS	OK
2	x-ray	brotli	PASS	PASS	OK
2	x-ray	gzip	PASS	PASS	OK
2	x-ray	bzip2	PASS	PASS	OK
2	x-ray	lz4	PASS	PASS	OK
3	x-ray	cubrim	PASS	PASS	OK
3	x-ray	xz	PASS	PASS	OK
3	x-ray	zstd	PASS	PASS	OK
3	x-ray	brotli	PASS	PASS	OK
3	x-ray	gzip	PASS	PASS	OK
3	x-ray	bzip2	PASS	PASS	OK
3	x-ray	lz4	PASS	PASS	OK
