round	file	tool	wall_s	load1_before	rss_kib
1	x-ray	cubrim	9.84	12.49	89856
1	x-ray	xz	0.45	11.95	10368
1	x-ray	zstd	0.09	11.95	12032
1	x-ray	brotli	0.13	11.95	11520
1	x-ray	gzip	0.09	11.95	3456
1	x-ray	bzip2	0.79	11.95	4864
1	x-ray	lz4	0.02	11.95	9216
2	x-ray	cubrim	10.5	11.95	89472
2	x-ray	xz	0.4	13.57	10368
2	x-ray	zstd	0.05	13.57	11776
2	x-ray	brotli	0.1	13.57	11520
2	x-ray	gzip	0.1	13.57	3456
2	x-ray	bzip2	0.79	13.57	4864
2	x-ray	lz4	0.02	13.57	9216
3	x-ray	cubrim	9.89	13.57	90112
3	x-ray	xz	0.43	14.37	10240
3	x-ray	zstd	0.07	14.37	11904
3	x-ray	brotli	0.13	14.37	11392
3	x-ray	gzip	0.11	14.37	3456
3	x-ray	bzip2	0.86	14.37	4864
3	x-ray	lz4	0.02	14.37	9216
