file	full_sha256	slice_sha256	orig_bytes	compressed_bytes	ratio	encode_ms	decoded_bytes	decode_ms	rt	final_distribution	final_blocks
dickens	b24c37886142e11d0ee687db6ab06f936207aa7f2ea1fd1d9a36763c7a507e6a	df925056e0779c51cb2a27c014e8fc6d25d28ef2fac5b8ce4632d93b86860603	2097152	461437	0.220030	207317	2097152	42567	PASS	NONE	0
mozilla	657fc3764b0c75ac9de9623125705831ebbfbe08fed248df73bc2dc66e2a963b	f51fc2fecedacdce3240733b9f87a4e7230b391ac2586f6eecf420e583f6177d	2097152	1563187	0.745386	257610	2097152	47405	PASS	FINAL:geomix=325,FINAL:lz_rans=59	384
mr	68637ed52e3e4860174ed2dc0840ac77d5f1a60abbcb13770d5754e3774d53e6	1e254e8d58a0aecd86ce44f29cf00d5531c8b29c1b24efc049371e0f11f59a64	2097152	404341	0.192805	222242	2097152	1971	PASS	FINAL:geomix=384	384
nci	fc63a31770947b8c2062d3b19ca94c00485a232bb91b502021948fee983e1635	6788fcc1527c0f62709103e68ac9ab9416461ab00ed1f529b3cf2ae4ab06221e	2097152	104139	0.049657	308556	2097152	47201	PASS	FINAL:geomix=237,FINAL:lz_rans=147	384
osdb	60f027179302ca3ad87c58ac90b6be72ec23588aaa7a3b7fe8ecc0f11def3fa3	d432248cadc7f620b2ad73dfcf705ca0723eb366c74ea4ada1eb6903ad780ec2	2097152	472809	0.225453	182917	2097152	49262	PASS	NONE	0
reymont	0eac0114a3dfe6e2ee1f345a0f79d653cb26c3bc9f0ed79238af4933422b7578	25f23ee063af2759791507968f1a6add9bb641007ffc232ef1ea4ad4cc3d161c	2097152	297864	0.142033	166760	2097152	47979	PASS	NONE	0
samba	93ba07bc44d8267789c1d911992f40b089ffa2140b4a160fac11ccae9a40e7b2	e634c40e31a2edaea120d97640ed0a1feae62e9a9eda5a13385a466504b6acec	2097152	377987	0.180238	35885	2097152	47990	PASS	NONE	0
sao	c2d0ea2cc59d4c21b7fe43a71499342a00cbe530a1d5548770e91ecd6214adcc	59c03e732c4237c61505e9e1b4e2e00c2a824d18ae519a0b850ea68f6685aead	2097152	1094880	0.522079	291485	2097152	8656	PASS	FINAL:ctxmix=1,FINAL:geomix=383	384
webster	6a68f69b26daf09f9dd84f7470368553194a0b294fcfa80f1604efb11143a383	e38970065ec90d4c65142221d3c86518eeafde63b98bdd40fd043df08825e755	2097152	333280	0.158920	118958	2097152	41382	PASS	NONE	0
xml	0e82e54e695c1938e4193448022543845b33020c8be6bf3bf3ead2224903e08c	eb149089f7787ffe58f42501483b5bfb4a93ddc4a0a4569bf4eac2e5bf83f138	2097152	159384	0.076000	105940	2097152	36256	PASS	NONE	0
