rung	phase	sample	wall_s	gate
plain	plain	1	7.462574940	OK
plain	plain	2	9.485112146	OK
plain	plain	3	8.462211640	OK
F25	perf	1	7.715501021	OK
F25	perf	2	8.062799362	OK
F25	perf	3	9.094273363	OK
F25	perf	4	7.264027701	OK
F25	perf	5	7.051734252	OK
F25	perf	6	7.735948135	OK
F25	perf	7	8.507525603	OK
F25	perf	8	7.982055455	OK
F25	perf	9	7.514750445	OK
F25	perf	10	8.340723976	OK
F25	perf	11	7.075080282	OK
F25	perf	12	6.253589885	OK
F10	perf	1	7.113506069	OK
F10	perf	2	7.349028143	OK
F10	perf	3	7.870986398	OK
F10	perf	4	7.788487522	OK
F10	perf	5	8.056220763	OK
F10	perf	6	7.649623833	OK
F10	perf	7	7.612983786	OK
F10	perf	8	7.111339092	OK
F10	perf	9	8.388609365	OK
F10	perf	10	6.934488516	OK
F10	perf	11	7.928176087	OK
F10	perf	12	7.721930385	OK
