rung	pair	phase	wall_s	load1	gate
F25	1	plain	11.279477017	22.96	OK
F25	1	perf	10.885020906	22.96	OK
F25	2	plain	10.455291150	28.30	OK
F25	2	perf	11.103610596	28.30	OK
F25	3	plain	10.586963535	30.27	OK
F25	3	perf	10.636428966	30.27	OK
F25	4	plain	10.800587658	31.48	OK
F25	4	perf	10.684386211	31.48	OK
F25	5	plain	10.364944132	29.81	OK
F25	5	perf	10.427072301	29.81	OK
F25	6	plain	10.012935931	29.42	OK
F25	6	perf	9.332405803	29.42	OK
F25	7	plain	8.484832058	27.19	OK
F25	7	perf	7.729099137	27.19	OK
F25	8	plain	7.084260081	23.40	OK
F25	8	perf	7.525266927	23.40	OK
F25	9	plain	7.281710041	20.24	OK
F25	9	perf	8.268349424	20.24	OK
F25	10	plain	8.644716941	18.29	OK
F25	10	perf	9.297604241	18.29	OK
F25	11	plain	10.650394631	17.87	OK
F25	11	perf	11.268445736	17.87	OK
F25	12	plain	11.673384980	17.31	OK
F25	12	perf	11.666824247	17.31	OK
F10	1	plain	10.500731562	19.25	OK
F10	1	perf	9.019524450	19.25	OK
F10	2	plain	11.528931135	17.64	OK
F10	2	perf	9.872128452	17.64	OK
F10	3	plain	8.739010141	18.40	OK
F10	3	perf	9.557458166	18.40	OK
F10	4	plain	8.812679580	17.29	OK
F10	4	perf	10.027426261	17.29	OK
F10	5	plain	8.979351765	15.18	OK
F10	5	perf	8.561718887	15.18	OK
F10	6	plain	8.631125704	14.22	OK
F10	6	perf	7.876451582	14.22	OK
F10	7	plain	7.782662585	12.93	OK
F10	7	perf	7.916926950	12.93	OK
F10	8	plain	7.432644324	11.90	OK
F10	8	perf	7.450360121	11.90	OK
F10	9	plain	7.867717243	10.29	OK
F10	9	perf	6.976948568	10.29	OK
F10	10	plain	8.007388828	9.17	OK
F10	10	perf	7.704522074	9.17	OK
F10	11	plain	7.921534047	8.96	OK
F10	11	perf	8.430786731	8.96	OK
F10	12	plain	7.650852151	9.19	OK
F10	12	perf	10.171074111	9.19	OK
