cell	phase	sample	build	wall_s	rss_kib
nci/balanced	timed	1	base	32.03	1385344
nci/balanced	timed	1	current	30.26	1644416
nci/balanced	timed	1	zero	29.89	991488
nci/balanced	timed	2	current	31.45	1644160
nci/balanced	timed	2	zero	31.15	991360
nci/balanced	timed	2	base	47.06	1385088
nci/balanced	timed	3	zero	25.14	991360
nci/balanced	timed	3	base	40.65	1385088
nci/balanced	timed	3	current	27.86	1644672
nci/web	timed	1	base	26.73	107136
nci/web	timed	1	current	19.14	111616
nci/web	timed	1	zero	18.72	92160
nci/web	timed	2	current	20.33	111744
nci/web	timed	2	zero	20.07	92416
nci/web	timed	2	base	31.11	107392
nci/web	timed	3	zero	27.09	92160
nci/web	timed	3	base	36.38	107008
nci/web	timed	3	current	26.1	111232
dickens/max	timed	1	base	38.24	1543808
dickens/max	timed	1	current	26.6	1719808
dickens/max	timed	1	zero	22.13	1155328
dickens/max	timed	2	current	25.72	1720064
dickens/max	timed	2	zero	26.54	1155328
dickens/max	timed	2	base	46.24	1543680
dickens/max	timed	3	zero	27.64	1154816
dickens/max	timed	3	base	40.01	1544064
dickens/max	timed	3	current	22.87	1719552
dickens/balanced	timed	1	base	40.91	1485824
dickens/balanced	timed	1	current	26.44	1654400
dickens/balanced	timed	1	zero	27.38	1135360
dickens/balanced	timed	2	current	22.59	1653888
dickens/balanced	timed	2	zero	24.04	1135360
dickens/balanced	timed	2	base	39.54	1486336
dickens/balanced	timed	3	zero	28.66	1135232
dickens/balanced	timed	3	base	41.89	1486208
dickens/balanced	timed	3	current	28.73	1654272
dickens/web	timed	1	base	49.64	110336
dickens/web	timed	1	current	36.26	113152
dickens/web	timed	1	zero	36.26	104960
dickens/web	timed	2	current	34.35	113536
dickens/web	timed	2	zero	35.36	104704
dickens/web	timed	2	base	50.13	109952
dickens/web	timed	3	zero	36.39	104832
dickens/web	timed	3	base	51.54	109824
dickens/web	timed	3	current	38.3	113280
ooffice/max	timed	1	base	52.82	1635072
ooffice/max	timed	1	current	36.42	1707520
ooffice/max	timed	1	zero	35.85	1473920
ooffice/max	timed	2	current	34.46	1708288
ooffice/max	timed	2	zero	37.1	1474176
ooffice/max	timed	2	base	52.9	1634816
ooffice/max	timed	3	zero	38.28	1473536
ooffice/max	timed	3	base	61	1634944
ooffice/max	timed	3	current	32.37	1707904
ooffice/balanced	timed	1	base	46.39	1635328
ooffice/balanced	timed	1	current	34.31	1707904
ooffice/balanced	timed	1	zero	35	1474176
ooffice/balanced	timed	2	current	34.13	1707776
ooffice/balanced	timed	2	zero	34.66	1473536
ooffice/balanced	timed	2	base	60.73	1634688
ooffice/balanced	timed	3	zero	40.51	1473792
ooffice/balanced	timed	3	base	53.9	1634816
ooffice/balanced	timed	3	current	35.99	1707264
ooffice/web	timed	1	base	47.78	111872
ooffice/web	timed	1	current	34.85	114816
ooffice/web	timed	1	zero	33.29	107264
ooffice/web	timed	2	current	28.85	114688
ooffice/web	timed	2	zero	26.84	107904
ooffice/web	timed	2	base	38.92	112384
ooffice/web	timed	3	zero	22.32	108032
ooffice/web	timed	3	base	36.09	112640
ooffice/web	timed	3	current	22.82	115200
