id	hypothesis_id	codec_rev	corpus_file	run_mode	orig_bytes	comp_bytes	ratio	rt_ok	duration_ms	measured_at	peak_rss_kib	decode_ms	decode_peak_rss_kib	host	cpu_pin
389	NEW-30	7	silesia/dickens[0:2097152]	levers-wall-pin0-15-t4	2097152	461437	0.220032	t	78450	2026-08-08 05:07:00+00	1631360	26430	1543680	dev-ai	0-15
390	NEW-30	8	silesia/dickens[0:2097152]	levers-wall-pin0-15-t4	2097152	461437	0.220032	t	59570	2026-08-08 05:07:00+00	1812908	19910	1719808	dev-ai	0-15
391	NEW-30	7	silesia/nci[0:2097152]	levers-wall-pin0-15-t4	2097152	104139	0.049658	t	116740	2026-08-08 05:07:00+00	1721868	18050	1429504	dev-ai	0-15
392	NEW-30	8	silesia/nci[0:2097152]	levers-wall-pin0-15-t4	2097152	104139	0.049658	t	111250	2026-08-08 05:07:00+00	1863676	15620	1709568	dev-ai	0-15
393	NEW-30	7	silesia/ooffice[0:2097152]	levers-wall-pin0-15-t4	2097152	677605	0.323107	t	122000	2026-08-08 05:07:00+00	1858580	25020	1634816	dev-ai	0-15
394	NEW-30	8	silesia/ooffice[0:2097152]	levers-wall-pin0-15-t4	2097152	677605	0.323107	t	110870	2026-08-08 05:07:00+00	1938700	19060	1707520	dev-ai	0-15
395	NEW-30	9	silesia/dickens[0:2097152]	preset-rss-max-pin0-15-t4	2097152	461437	0.2200303077697754	t		2026-08-08 09:15:13+00		27030	1543680	dev-ai	0-15
396	NEW-30	8	silesia/dickens[0:2097152]	preset-rss-max-pin0-15-t4	2097152	461437	0.2200303077697754	t		2026-08-08 09:15:13+00		20000	1719808	dev-ai	0-15
397	NEW-30	9	silesia/dickens[0:2097152]	preset-rss-balanced-pin0-15-t4	2097152	472253	0.2251877784729004	t		2026-08-08 09:15:13+00		25870	1486336	dev-ai	0-15
398	NEW-30	8	silesia/dickens[0:2097152]	preset-rss-balanced-pin0-15-t4	2097152	472253	0.2251877784729004	t		2026-08-08 09:15:13+00		19240	1654784	dev-ai	0-15
399	NEW-30	9	silesia/dickens[0:2097152]	preset-rss-web-pin0-15-t4	2097152	487506	0.23246097564697266	t		2026-08-08 09:15:13+00		22550	110080	dev-ai	0-15
400	NEW-30	8	silesia/dickens[0:2097152]	preset-rss-web-pin0-15-t4	2097152	487506	0.23246097564697266	t		2026-08-08 09:15:13+00		17220	113152	dev-ai	0-15
401	NEW-30	9	silesia/nci[0:2097152]	preset-rss-max-pin0-15-t4	2097152	104139	0.049657344818115234	t		2026-08-08 09:15:13+00		18760	1430016	dev-ai	0-15
402	NEW-30	8	silesia/nci[0:2097152]	preset-rss-max-pin0-15-t4	2097152	104139	0.049657344818115234	t		2026-08-08 09:15:13+00		15700	1710080	dev-ai	0-15
403	NEW-30	9	silesia/nci[0:2097152]	preset-rss-balanced-pin0-15-t4	2097152	108014	0.051505088806152344	t		2026-08-08 09:15:13+00		18070	1385984	dev-ai	0-15
404	NEW-30	8	silesia/nci[0:2097152]	preset-rss-balanced-pin0-15-t4	2097152	108014	0.051505088806152344	t		2026-08-08 09:15:13+00		15090	1644544	dev-ai	0-15
405	NEW-30	9	silesia/nci[0:2097152]	preset-rss-web-pin0-15-t4	2097152	108624	0.05179595947265625	t		2026-08-08 09:15:13+00		15750	107520	dev-ai	0-15
406	NEW-30	8	silesia/nci[0:2097152]	preset-rss-web-pin0-15-t4	2097152	108624	0.05179595947265625	t		2026-08-08 09:15:13+00		13410	111616	dev-ai	0-15
407	NEW-30	9	silesia/ooffice[0:2097152]	preset-rss-max-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-08 09:15:13+00		25580	1635328	dev-ai	0-15
408	NEW-30	8	silesia/ooffice[0:2097152]	preset-rss-max-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-08 09:15:13+00		18990	1708544	dev-ai	0-15
409	NEW-30	9	silesia/ooffice[0:2097152]	preset-rss-balanced-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-08 09:15:13+00		25400	1635840	dev-ai	0-15
410	NEW-30	8	silesia/ooffice[0:2097152]	preset-rss-balanced-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-08 09:15:13+00		18950	1708032	dev-ai	0-15
411	NEW-30	9	silesia/ooffice[0:2097152]	preset-rss-web-pin0-15-t4	2097152	704087	0.33573484420776367	t		2026-08-08 09:15:13+00		22240	112640	dev-ai	0-15
412	NEW-30	8	silesia/ooffice[0:2097152]	preset-rss-web-pin0-15-t4	2097152	704087	0.33573484420776367	t		2026-08-08 09:15:13+00		16930	115200	dev-ai	0-15
413	NEW-30	8	silesia/nci[0:2097152]	zerorep-nci-max-pin0-15-t4	2097152	104139	0.049657344818115234	t		2026-08-08 13:48:21+00		15610	1710592	dev-ai	0-15
414	NEW-30	9	silesia/nci[0:2097152]	zerorep-nci-max-pin0-15-t4	2097152	104139	0.049657344818115234	t		2026-08-08 13:48:21+00		18710	1430016	dev-ai	0-15
415	NEW-30	10	silesia/nci[0:2097152]	zerorep-nci-max-pin0-15-t4	2097152	104139	0.049657344818115234	t		2026-08-08 13:48:21+00		15250	998912	dev-ai	0-15
