id	hypothesis_id	codec_rev	corpus_file	run_mode	orig_bytes	comp_bytes	ratio	rt_ok	duration_ms	measured_at	peak_rss_kib	decode_ms	decode_peak_rss_kib	host	cpu_pin
426	NEW-30	8	silesia/dickens[0:2097152]	zerorep-dickens-balanced-pin0-15-t4	2097152	472253	0.2251877784729004	t		2026-08-09 11:47:09+00		19250	1654272	dev-ai	0-15
425	NEW-30	9	silesia/dickens[0:2097152]	zerorep-dickens-balanced-pin0-15-t4	2097152	472253	0.2251877784729004	t		2026-08-09 11:47:09+00		25710	1486848	dev-ai	0-15
427	NEW-30	10	silesia/dickens[0:2097152]	zerorep-dickens-balanced-pin0-15-t4	2097152	472253	0.2251877784729004	t		2026-08-09 11:47:09+00		19330	1135104	dev-ai	0-15
423	NEW-30	8	silesia/dickens[0:2097152]	zerorep-dickens-max-pin0-15-t4	2097152	461437	0.2200303077697754	t		2026-08-09 11:47:09+00		19950	1719808	dev-ai	0-15
422	NEW-30	9	silesia/dickens[0:2097152]	zerorep-dickens-max-pin0-15-t4	2097152	461437	0.2200303077697754	t		2026-08-09 11:47:09+00		26940	1543680	dev-ai	0-15
424	NEW-30	10	silesia/dickens[0:2097152]	zerorep-dickens-max-pin0-15-t4	2097152	461437	0.2200303077697754	t		2026-08-09 11:47:09+00		20060	1154560	dev-ai	0-15
429	NEW-30	8	silesia/dickens[0:2097152]	zerorep-dickens-web-pin0-15-t4	2097152	487506	0.23246097564697266	t		2026-08-09 11:47:09+00		17170	113152	dev-ai	0-15
428	NEW-30	9	silesia/dickens[0:2097152]	zerorep-dickens-web-pin0-15-t4	2097152	487506	0.23246097564697266	t		2026-08-09 11:47:09+00		22540	110080	dev-ai	0-15
430	NEW-30	10	silesia/dickens[0:2097152]	zerorep-dickens-web-pin0-15-t4	2097152	487506	0.23246097564697266	t		2026-08-09 11:47:09+00		17080	104960	dev-ai	0-15
417	NEW-30	8	silesia/nci[0:2097152]	zerorep-nci-balanced-pin0-15-t4	2097152	108014	0.051505088806152344	t		2026-08-09 11:47:09+00		15070	1645056	dev-ai	0-15
416	NEW-30	9	silesia/nci[0:2097152]	zerorep-nci-balanced-pin0-15-t4	2097152	108014	0.051505088806152344	t		2026-08-09 11:47:09+00		18170	1385472	dev-ai	0-15
418	NEW-30	10	silesia/nci[0:2097152]	zerorep-nci-balanced-pin0-15-t4	2097152	108014	0.051505088806152344	t		2026-08-09 11:47:09+00		14680	991744	dev-ai	0-15
420	NEW-30	8	silesia/nci[0:2097152]	zerorep-nci-web-pin0-15-t4	2097152	108624	0.05179595947265625	t		2026-08-09 11:47:09+00		13390	111616	dev-ai	0-15
419	NEW-30	9	silesia/nci[0:2097152]	zerorep-nci-web-pin0-15-t4	2097152	108624	0.05179595947265625	t		2026-08-09 11:47:09+00		15770	108032	dev-ai	0-15
421	NEW-30	10	silesia/nci[0:2097152]	zerorep-nci-web-pin0-15-t4	2097152	108624	0.05179595947265625	t		2026-08-09 11:47:09+00		13080	92672	dev-ai	0-15
435	NEW-30	8	silesia/ooffice[0:2097152]	zerorep-ooffice-balanced-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-09 11:47:09+00		19070	1708032	dev-ai	0-15
434	NEW-30	9	silesia/ooffice[0:2097152]	zerorep-ooffice-balanced-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-09 11:47:09+00		25540	1635328	dev-ai	0-15
436	NEW-30	10	silesia/ooffice[0:2097152]	zerorep-ooffice-balanced-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-09 11:47:09+00		19340	1474048	dev-ai	0-15
432	NEW-30	8	silesia/ooffice[0:2097152]	zerorep-ooffice-max-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-09 11:47:09+00		19080	1708544	dev-ai	0-15
431	NEW-30	9	silesia/ooffice[0:2097152]	zerorep-ooffice-max-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-09 11:47:09+00		25530	1635328	dev-ai	0-15
433	NEW-30	10	silesia/ooffice[0:2097152]	zerorep-ooffice-max-pin0-15-t4	2097152	677605	0.3231072425842285	t		2026-08-09 11:47:09+00		19210	1474048	dev-ai	0-15
438	NEW-30	8	silesia/ooffice[0:2097152]	zerorep-ooffice-web-pin0-15-t4	2097152	704087	0.33573484420776367	t		2026-08-09 11:47:09+00		17120	115200	dev-ai	0-15
437	NEW-30	9	silesia/ooffice[0:2097152]	zerorep-ooffice-web-pin0-15-t4	2097152	704087	0.33573484420776367	t		2026-08-09 11:47:09+00		22290	112640	dev-ai	0-15
439	NEW-30	10	silesia/ooffice[0:2097152]	zerorep-ooffice-web-pin0-15-t4	2097152	704087	0.33573484420776367	t		2026-08-09 11:47:09+00		16800	108032	dev-ai	0-15
