cell	step	sample	build	wall_s	peak_rss_kib
nci/balanced	timed	1	base	18.380000	1384960
nci/balanced	timed	1	current	15.010000	1645056
nci/balanced	timed	1	zero	14.900000	991744
nci/balanced	timed	2	current	15.070000	1645056
nci/balanced	timed	2	zero	14.680000	991744
nci/balanced	timed	2	base	18.140000	1385984
nci/balanced	timed	3	zero	14.580000	992256
nci/balanced	timed	3	base	18.170000	1385472
nci/balanced	timed	3	current	15.100000	1644544
nci/web	timed	1	base	15.770000	108032
nci/web	timed	1	current	13.360000	111616
nci/web	timed	1	zero	13.080000	92672
nci/web	timed	2	current	13.400000	111104
nci/web	timed	2	zero	13.230000	92160
nci/web	timed	2	base	15.630000	108032
nci/web	timed	3	zero	13.020000	92672
nci/web	timed	3	base	15.860000	106496
nci/web	timed	3	current	13.390000	111616
dickens/max	timed	1	base	27.180000	1543168
dickens/max	timed	1	current	19.910000	1719296
dickens/max	timed	1	zero	20.090000	1154560
dickens/max	timed	2	current	19.990000	1719808
dickens/max	timed	2	zero	19.820000	1155584
dickens/max	timed	2	base	26.830000	1544192
dickens/max	timed	3	zero	20.060000	1154560
dickens/max	timed	3	base	26.940000	1543680
dickens/max	timed	3	current	19.950000	1720320
dickens/balanced	timed	1	base	25.710000	1486848
dickens/balanced	timed	1	current	19.230000	1654272
dickens/balanced	timed	1	zero	19.350000	1134592
dickens/balanced	timed	2	current	19.250000	1654272
dickens/balanced	timed	2	zero	19.330000	1135104
dickens/balanced	timed	2	base	25.610000	1486848
dickens/balanced	timed	3	zero	19.210000	1135616
dickens/balanced	timed	3	base	25.990000	1485824
dickens/balanced	timed	3	current	19.350000	1654272
dickens/web	timed	1	base	22.480000	110592
dickens/web	timed	1	current	17.170000	113152
dickens/web	timed	1	zero	16.990000	104960
dickens/web	timed	2	current	17.170000	113152
dickens/web	timed	2	zero	17.080000	104448
dickens/web	timed	2	base	22.800000	109568
dickens/web	timed	3	zero	17.250000	104960
dickens/web	timed	3	base	22.540000	110080
dickens/web	timed	3	current	17.180000	113152
ooffice/max	timed	1	base	25.470000	1635328
ooffice/max	timed	1	current	19.030000	1708544
ooffice/max	timed	1	zero	19.300000	1474048
ooffice/max	timed	2	current	19.100000	1708544
ooffice/max	timed	2	zero	19.200000	1474048
ooffice/max	timed	2	base	25.530000	1635840
ooffice/max	timed	3	zero	19.210000	1474048
ooffice/max	timed	3	base	25.640000	1634816
ooffice/max	timed	3	current	19.080000	1708032
ooffice/balanced	timed	1	base	25.540000	1635328
ooffice/balanced	timed	1	current	19.070000	1708032
ooffice/balanced	timed	1	zero	19.370000	1473536
ooffice/balanced	timed	2	current	19.070000	1707520
ooffice/balanced	timed	2	zero	19.110000	1474560
ooffice/balanced	timed	2	base	25.370000	1635328
ooffice/balanced	timed	3	zero	19.340000	1474048
ooffice/balanced	timed	3	base	25.660000	1635328
ooffice/balanced	timed	3	current	18.960000	1708544
ooffice/web	timed	1	base	22.430000	112128
ooffice/web	timed	1	current	17.150000	115200
ooffice/web	timed	1	zero	16.700000	108544
ooffice/web	timed	2	current	16.930000	115200
ooffice/web	timed	2	zero	16.800000	107520
ooffice/web	timed	2	base	22.180000	112640
ooffice/web	timed	3	zero	16.830000	108032
ooffice/web	timed	3	base	22.290000	112640
ooffice/web	timed	3	current	17.120000	114688
