cell	phase	sample	build	cmp
nci/balanced	warmup	1	base	PASS
nci/balanced	warmup	1	current	PASS
nci/balanced	warmup	1	zero	PASS
nci/balanced	timed	1	base	PASS
nci/balanced	timed	1	current	PASS
nci/balanced	timed	1	zero	PASS
nci/balanced	timed	2	current	PASS
nci/balanced	timed	2	zero	PASS
nci/balanced	timed	2	base	PASS
nci/balanced	timed	3	zero	PASS
nci/balanced	timed	3	base	PASS
nci/balanced	timed	3	current	PASS
nci/web	warmup	1	base	PASS
nci/web	warmup	1	current	PASS
nci/web	warmup	1	zero	PASS
nci/web	timed	1	base	PASS
nci/web	timed	1	current	PASS
nci/web	timed	1	zero	PASS
nci/web	timed	2	current	PASS
nci/web	timed	2	zero	PASS
nci/web	timed	2	base	PASS
nci/web	timed	3	zero	PASS
nci/web	timed	3	base	PASS
nci/web	timed	3	current	PASS
dickens/max	warmup	1	base	PASS
dickens/max	warmup	1	current	PASS
dickens/max	warmup	1	zero	PASS
dickens/max	timed	1	base	PASS
dickens/max	timed	1	current	PASS
dickens/max	timed	1	zero	PASS
dickens/max	timed	2	current	PASS
dickens/max	timed	2	zero	PASS
dickens/max	timed	2	base	PASS
dickens/max	timed	3	zero	PASS
dickens/max	timed	3	base	PASS
dickens/max	timed	3	current	PASS
dickens/balanced	warmup	1	base	PASS
dickens/balanced	warmup	1	current	PASS
dickens/balanced	warmup	1	zero	PASS
dickens/balanced	timed	1	base	PASS
dickens/balanced	timed	1	current	PASS
dickens/balanced	timed	1	zero	PASS
dickens/balanced	timed	2	current	PASS
dickens/balanced	timed	2	zero	PASS
dickens/balanced	timed	2	base	PASS
dickens/balanced	timed	3	zero	PASS
dickens/balanced	timed	3	base	PASS
dickens/balanced	timed	3	current	PASS
dickens/web	warmup	1	base	PASS
dickens/web	warmup	1	current	PASS
dickens/web	warmup	1	zero	PASS
dickens/web	timed	1	base	PASS
dickens/web	timed	1	current	PASS
dickens/web	timed	1	zero	PASS
dickens/web	timed	2	current	PASS
dickens/web	timed	2	zero	PASS
dickens/web	timed	2	base	PASS
dickens/web	timed	3	zero	PASS
dickens/web	timed	3	base	PASS
dickens/web	timed	3	current	PASS
ooffice/max	warmup	1	base	PASS
ooffice/max	warmup	1	current	PASS
ooffice/max	warmup	1	zero	PASS
ooffice/max	timed	1	base	PASS
ooffice/max	timed	1	current	PASS
ooffice/max	timed	1	zero	PASS
ooffice/max	timed	2	current	PASS
ooffice/max	timed	2	zero	PASS
ooffice/max	timed	2	base	PASS
ooffice/max	timed	3	zero	PASS
ooffice/max	timed	3	base	PASS
ooffice/max	timed	3	current	PASS
ooffice/balanced	warmup	1	base	PASS
ooffice/balanced	warmup	1	current	PASS
ooffice/balanced	warmup	1	zero	PASS
ooffice/balanced	timed	1	base	PASS
ooffice/balanced	timed	1	current	PASS
ooffice/balanced	timed	1	zero	PASS
ooffice/balanced	timed	2	current	PASS
ooffice/balanced	timed	2	zero	PASS
ooffice/balanced	timed	2	base	PASS
ooffice/balanced	timed	3	zero	PASS
ooffice/balanced	timed	3	base	PASS
ooffice/balanced	timed	3	current	PASS
ooffice/web	warmup	1	base	PASS
ooffice/web	warmup	1	current	PASS
ooffice/web	warmup	1	zero	PASS
ooffice/web	timed	1	base	PASS
ooffice/web	timed	1	current	PASS
ooffice/web	timed	1	zero	PASS
ooffice/web	timed	2	current	PASS
ooffice/web	timed	2	zero	PASS
ooffice/web	timed	2	base	PASS
ooffice/web	timed	3	zero	PASS
ooffice/web	timed	3	base	PASS
ooffice/web	timed	3	current	PASS
