corpus	file	type	orig	compressed	ratio	mode	encode_rc	decode_rc	cmp	encode_seconds	decode_seconds	archive_sha256
silesia	dickens	text	10192446	2156371	0.2115656045663622	16	0	0	0	163.4318858429324	140.21545729995705	4c81789647a1cda6804293df6985cdd03d2b3ab72b3869de3fbc3e0a1668dca0
silesia	mozilla	exe	51220480	12247649	0.23911624803203718	16	0	0	0	716.6747315898538	593.2518729979638	a5de53bb407ffefbbeee771e2c15945654db4c3e5a5801dbcc502b808b9cf655
silesia	mr	image	9970564	2098063	0.21042570911735786	7	0	0	0	147.48191784811206	22.662617203081027	0bb5c064eac31d4f26993b77454a7055f4b30e203a1b5ab80b11b0f4d8fd1b8d
silesia	nci	database	33553445	1598300	0.047634453034554276	16	0	0	0	417.942519294098	291.8849794140551	1afd5dd9e727a205452d780ec534d3d22086770ae4a16b7a921bad39e8e1cffd
silesia	ooffice	exe	6152192	1991681	0.32373518251706057	16	0	0	0	109.77248505293392	81.17894079303369	a8b765a9769bfe286364f0c3b25f1e801c80c4ffa2b430db5b866c1345563349
silesia	osdb	database	10085684	2273503	0.22541882137096503	16	0	0	0	183.75252227298915	156.3170407731086	cc5a5208e5a4b973d59d70b6f6c4ad36457399e06aa87adff1ac88f8d6b0b8a9
silesia	reymont	text	6627202	921631	0.13906789018955512	16	0	0	0	81.25127674313262	81.05120585300028	fdc4f3dfc9bc0616e59c6140f3f8419e04ed0fb489b24d6e63af50d4016b5550
silesia	samba	code	21606400	3138929	0.14527774178021327	16	0	0	0	253.29707341594622	251.76684209285304	3b6a7eb743f8d7e22724159fbf51dbc617bd8b3d28880b8d89d0ebff3143d962
silesia	sao	binary	7251944	3839238	0.5294081145690038	13	0	0	0	158.08497017109767	21.654862737981603	bc3b8b9d311010a1f7633dc190b4997004a1e6324c409d25c75175783dab1178
silesia	webster	text	41458703	5891941	0.14211590266101667	16	0	0	0	570.9225663088728	510.565064051887	c569ce07b4f3a2424a2476ecb7b86cfbec8f255a36741de803492443aa0694ae
silesia	x-ray	image	8474240	3771607	0.4450672862699192	7	0	0	0	91.44694213592447	31.82610634714365	0db96295ea92da4341da8d412b4cbeabd028babc1445ff89dc9f7face31176e3
silesia	xml	text	5345280	339437	0.06350219258860153	16	0	0	0	58.972305306000635	57.32597689307295	b777f1bf243cae1d6f99d45e76f1d3abcebdfa08cb505edbc98fcfa66aae79ea
enwik8	enwik8	text	100000000	19552678	0.19552678	16	0	0	0	1629.5395881389268	1282.4643055489287	b9593fdc2813a55c70626ee6c5cb8427f72f0e43a2dd82cab522285de087e269
canterbury	alice29.txt	text	152089	52485	0.34509399101841687	3	0	0	0	0.31448934599757195	0.016016201116144657	73ecf2a4438f7d5a6745ffcc11bd37ff29950f9920b8d6660f5189648624b7d2
canterbury	asyoulik.txt	text	125179	48069	0.38400210897994075	3	0	0	0	0.26440186286345124	0.015992705011740327	0129fc662f0b782818516702318ec94f82c679d08d3c7bb0c369ca0fe9d93791
canterbury	cp.html	text	24603	21654	0.8801365687111328	0	0	0	0	0.016414463985711336	0.015860011102631688	6dd8b6e6f393a693bfa14810c9b6f712f8a8fc0dc8236794a75adb595cac7746
canterbury	fields.c	code	11150	9887	0.8867264573991032	0	0	0	0	0.007863618899136782	0.007793409051373601	46d9c1e0f1e6da271fe76ed7227a2397dd4de5ba4cb29c0c021248ddd908c3c7
canterbury	grammar.lsp	code	3721	3372	0.9062080085998387	0	0	0	0	0.007881164085119963	0.0037928479723632336	f328d589f4754f3e7b41ab2d30f5074a3abf2d3b4fdefcfce43bffacfb3005be
canterbury	kennedy.xls	binary	1029744	24427	0.023721429792259045	16	0	0	0	15.743549969047308	9.832617726176977	09dfd918facf686a9170c12e1c202d9dbe14a6ed56d97e50fa38d4abee383abe
canterbury	lcet10.txt	text	426754	90127	0.21119192790225752	16	0	0	0	5.273999763187021	5.227366524050012	3f24f8e0dce537781dfd69c8b728bbea8ff08c3e16cb1a304d135848ff23b350
canterbury	plrabn12.txt	text	481861	128347	0.26635689545325314	16	0	0	0	5.976755520096049	5.925883245887235	9c9e7f35881e8ed345c1edbc285eafa966ca1d57c8b5b389954365e20da66c63
canterbury	ptt5	image	513216	44262	0.08624438832772166	16	0	0	0	13.541440338129178	4.02392871491611	02282a468e3df4c5284adaeccaf1956010cca581938bbdb3ac0e5c6de804610c
canterbury	sum	binary	38240	38253	1.0003399581589958	1	0	0	0	0.03215883485972881	0.0037349120248109102	b3e9a402d8779b35c12c17370f21c620fb4978d1cd47f2b8505aaf3baf3599ea
canterbury	xargs.1	text	4227	3813	0.9020581973030518	0	0	0	0	0.00781664508394897	0.0036938809789717197	16ff878f92811579c18dd8c2a30d53337659d61654f959caf89e5516eaab1172
