corpus	file	type	orig	sha256
silesia	dickens	text	10192446	b24c37886142e11d0ee687db6ab06f936207aa7f2ea1fd1d9a36763c7a507e6a
silesia	mozilla	exe	51220480	657fc3764b0c75ac9de9623125705831ebbfbe08fed248df73bc2dc66e2a963b
silesia	mr	image	9970564	68637ed52e3e4860174ed2dc0840ac77d5f1a60abbcb13770d5754e3774d53e6
silesia	nci	database	33553445	fc63a31770947b8c2062d3b19ca94c00485a232bb91b502021948fee983e1635
silesia	ooffice	exe	6152192	e7ee013880d34dd5208283d0d3d91b07f442e067454276095ded14f322a656eb
silesia	osdb	database	10085684	60f027179302ca3ad87c58ac90b6be72ec23588aaa7a3b7fe8ecc0f11def3fa3
silesia	reymont	text	6627202	0eac0114a3dfe6e2ee1f345a0f79d653cb26c3bc9f0ed79238af4933422b7578
silesia	samba	code	21606400	93ba07bc44d8267789c1d911992f40b089ffa2140b4a160fac11ccae9a40e7b2
silesia	sao	binary	7251944	c2d0ea2cc59d4c21b7fe43a71499342a00cbe530a1d5548770e91ecd6214adcc
silesia	webster	text	41458703	6a68f69b26daf09f9dd84f7470368553194a0b294fcfa80f1604efb11143a383
silesia	x-ray	image	8474240	7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad
silesia	xml	text	5345280	0e82e54e695c1938e4193448022543845b33020c8be6bf3bf3ead2224903e08c
enwik8	enwik8	text	100000000	2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
canterbury	alice29.txt	text	152089	7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0
canterbury	asyoulik.txt	text	125179	eaa3526fe53859f34ecdf255712f9ecf0b2c903451d4755b2edaa2e2599cb0fc
canterbury	cp.html	text	24603	e0cd21cef5b6c4069461e949be100080c3ce887de6f1dd8626c480528efaaf61
canterbury	fields.c	code	11150	85d73e354cc50cec76cb5a50537cf8dc035f8cbb8480f9e1cbe2f7d6c23393c7
canterbury	grammar.lsp	code	3721	1b0805dfc0ae706b35aac2bb4e15f02485efd24dda5dbd29de7b2f84d1a88c15
canterbury	kennedy.xls	binary	1029744	9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420
canterbury	lcet10.txt	text	426754	5314ba1dbb03f471df88bec6cd120a938ef60d0fd3511c5c1dce61bf7463245f
canterbury	plrabn12.txt	text	481861	07e2e0b461af78c7c647cb53dab39de560198e16f799b4516eccf0fbd69f764c
canterbury	ptt5	image	513216	0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650
canterbury	sum	binary	38240	ee5733cd76ecc2f9d8ff156adc3c02a7a851051dcf43a2d56ff4ee4ff606bdb3
canterbury	xargs.1	text	4227	c58aeb5d2d1e12751d47e7412b45784405fc30a5671b03d480fa05776e183619
