ppmd	canterbury/cp.html	24603	7188	0.292159
xz	canterbury/cp.html	24603	7652	0.311019
brotli	canterbury/cp.html	24603	6895	0.280250
zstd	canterbury/cp.html	24603	7716	0.313620
bzip2	canterbury/cp.html	24603	7624	0.309881
ppmd	canterbury/fields.c	11150	3020	0.270852
xz	canterbury/fields.c	11150	3032	0.271928
brotli	canterbury/fields.c	11150	2717	0.243677
zstd	canterbury/fields.c	11150	3019	0.270762
bzip2	canterbury/fields.c	11150	3039	0.272556
ppmd	canterbury/grammar.lsp	3721	1278	0.343456
xz	canterbury/grammar.lsp	3721	1292	0.347218
brotli	canterbury/grammar.lsp	3721	1125	0.302338
zstd	canterbury/grammar.lsp	3721	1214	0.326256
bzip2	canterbury/grammar.lsp	3721	1283	0.344800
ppmd	canterbury/sum	38240	11987	0.313468
xz	canterbury/sum	38240	9500	0.248431
brotli	canterbury/sum	38240	10143	0.265246
zstd	canterbury/sum	38240	11234	0.293776
bzip2	canterbury/sum	38240	12909	0.337578
ppmd	canterbury/xargs.1	4227	1614	0.381831
xz	canterbury/xargs.1	4227	1812	0.428673
brotli	canterbury/xargs.1	4227	1464	0.346345
zstd	canterbury/xargs.1	4227	1728	0.408801
bzip2	canterbury/xargs.1	4227	1762	0.416844
ppmd	dickens	10192446	2312794	0.226913
xz	dickens	10192446	2831212	0.277776
brotli	dickens	10192446	2827777	0.277439
zstd	dickens	10192446	2850281	0.279646
bzip2	dickens	10192446	2799520	0.274666
ppmd	enwik8	100000000	23175340	0.231753
xz	enwik8	100000000	24831648	0.248316
brotli	enwik8	100000000	25742001	0.257420
zstd	enwik8	100000000	26954633	0.269546
bzip2	enwik8	100000000	29008758	0.290088
ppmd	mr	9970564	2319043	0.232589
xz	mr	9970564	2751892	0.276002
brotli	mr	9970564	2823136	0.283147
zstd	mr	9970564	3112772	0.312196
bzip2	mr	9970564	2441280	0.244849
ppmd	silesia/mozilla	51220480	15918170	0.310777
xz	silesia/mozilla	51220480	13376240	0.261150
brotli	silesia/mozilla	51220480	13872265	0.270834
zstd	silesia/mozilla	51220480	15113896	0.295075
bzip2	silesia/mozilla	51220480	17914392	0.349751
ppmd	silesia/samba	21606400	3761458	0.174090
xz	silesia/samba	21606400	3739524	0.173075
brotli	silesia/samba	21606400	3766340	0.174316
zstd	silesia/samba	21606400	3907287	0.180839
bzip2	silesia/samba	21606400	4549759	0.210575
ppmd	silesia/webster	41458703	6779411	0.163522
xz	silesia/webster	41458703	8368672	0.201856
brotli	silesia/webster	41458703	8428575	0.203300
zstd	silesia/webster	41458703	8695270	0.209733
bzip2	silesia/webster	41458703	8644714	0.208514
ppmd	x-ray	8474240	3850892	0.454423
xz	x-ray	8474240	4491264	0.529990
brotli	x-ray	8474240	4682753	0.552587
zstd	x-ray	8474240	5155753	0.608403
bzip2	x-ray	8474240	4051112	0.478050
